"내일	"/SS + 내일/NNG
정치자금	정치/NNG + 자금/NNG
문제로	문제/NNG + 로/JKB
고민하는	고민/NNG + 하/XSV + 는/ETM
일도	일/NNG + 도/JX
점차	점차/MAG
줄어들	줄어들/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

불법	불법/NNG
정치자금의	정치/NNG + 자금/NNG + 의/JKG
근절	근절/NNG
책임은	책임/NNG + 은/JX
정치인	정치인/NNG
못지않게	못지않/VA + 게/EC
기업인들에게도	기업인/NNG + 들/XSN + 에게/JKB + 도/JX
있다는	있/VV + 다는/ETM
얘기다.	얘기/NNG + 이/VCP + 다/EF + ./SF

◈지도층이	◈/SW + 지도/NNG + 층/XSN + 이/JKS
국적포기	국적/NNG + 포기/NNG
앞장서다니	앞장서/VV + 다니/EC

요즘	요즘/NNG
조선일보에	조선일보/NNP + 에/JKB
보도되는	보도/NNG + 되/XSV + 는/ETM
사회지도층	사회/NNG + 지도/NNG + 층/XSN
인사	인사/NNG
자녀들의	자녀/NNG + 들/XSN + 의/JKG
미국국적	미국/NNP + 국적/NNG
취득	취득/NNG
현상을	현상/NNG + 을/JKO
보면서	보/VV + 면서/EC
일개	일개/NNG
소시민으로	소/XPN + 시민/NNG + 으로/JKB
자괴감마저	자괴감/NNG + 마저/JX
든다.	들/VV + ㄴ다/EF + ./SF

이	이/MM
나라의	나라/NNG + 의/JKG
기득권이란	기득/NNG + 권/XSN + 이/VCP + 란/ETM
기득권은	기득/NNG + 권/XSN + 은/JX
다	다/MAG
가진	가지/VV + ㄴ/ETM
그들이	그/NP + 들/XSN + 이/JKS
뭐가	뭐/NP + 가/JKS
아쉬워	아쉽/VA + 어/EC
국적마저	국적/NNG + 마저/JX
제	저/NP + 의/JKG
나라	나라/NNG
국적을	국적/NNG + 을/JKO
갖지못하는지….	갖/VV + 지/EC + 못하/VX + 는지/EC + …/SE + ./SF

그들이	그/NP + 들/XSN + 이/JKS
바라는	바라/VV + 는/ETM
것이	것/NNB + 이/JKS
어디까지인지	어디/NP + 까지/JX + 이/VCP + ㄴ지/EC
모르겠다.	모르/VV + 겠/EP + 다/EF + ./SF

이번에	이번/NNG + 에/JKB
총리로	총리/NNG + 로/JKB
임명된	임명/NNG + 되/XSV + ㄴ/ETM
장상(張裳)	장상/NNP + (/SS + 張裳/SH + )/SS
총리서리의	총리/NNG + 서리/NNG + 의/JKG
아들이	아들/NNG + 이/JKS
4살	4/SN + 살/NNB
때	때/NNG
왜	왜/MAG
자기의	자기/NP + 의/JKG
조국을	조국/NNG + 을/JKO
뿌리쳐야	뿌리치/VV + 어야/EC
했는지,	하/VX + 았/EP + 는지/EC + ,/SP
또	또/MAG
이회창(李會昌)	이회창/NNP + (/SS + 李會昌/SH + )/SS
총재의	총재/NNG + 의/JKG
손녀는	손녀/NNG + 는/JX
왜	왜/MAG
미국국적을	미국/NNP + 국적/NNG + 을/JKO
가져야	가지/VV + 어야/EC
하는지,	하/VX + 는지/EC + ,/SP
도대체	도대체/MAG
이	이/MM
나라의	나라/NNG + 의/JKG
지도층은	지도/NNG + 층/XSN + 은/JX
왜	왜/MAG
그런	그런/MM
식으로	식/NNG + 으로/JKB
행동하는지	행동/NNG + 하/XSV + 는지/EC
모르겠다.	모르/VV + 겠/EP + 다/EF + ./SF

또	또/MAG
조금만	조금/NNG + 만/JX
형편이	형편/NNG + 이/JKC
되면	되/VV + 면/EC
미국에	미국/NNP + 에/JKB
가서	가/VV + 아서/EC
출산하려고	출산/NNG + 하/XSV + 려고/EC
하는	하/VX + 는/ETM
바람에	바람/NNB + 에/JKB
세계적으로	세계/NNG + 적/XSN + 으로/JKB
망신을	망신/NNG + 을/JKO
당하게	당하/VV + 게/EC
하는	하/VV + 는/ETM
많은	많/VA + 은/ETM
사람들을	사람/NNG + 들/XSN + 을/JKO
이해할	이해/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

이	이/MM
나라에	나라/NNG + 에/JKB
남아서	남/VV + 아서/EC
조국을	조국/NNG + 을/JKO
사랑하고	사랑/NNG + 하/XSV + 고/EC
국방의	국방/NNG + 의/JKG
의무를	의무/NNG + 를/JKO
다하는	다/MAG + 하/VV + 는/ETM
건	것/NNB + ㄴ/JX
누구의	누구/NP + 의/JKG
몫이란	몫/NNG + 이/VCP + 란/ETM
말인가.	말/NNG + 이/VCP + ㄴ가/EF + ./SF

나는	나/NP + 는/JX
그들이	그/NP + 들/XSN + 이/JKS
미국국적을	미국/NNP + 국적/NNG + 을/JKO
가졌다고	가지/VV + 었/EP + 다고/EC
해서	하/VV + 아서/EC
진정한	진정/XR + 하/XSA + ㄴ/ETM
미국인인지	미국인/NNG + 이/VCP + ㄴ지/EC
묻고	묻/VV + 고/EC
싶다.	싶/VX + 다/EF + ./SF

나도	나/NP + 도/JX
자녀를	자녀/NNG + 를/JKO
키우는	키우/VV + 는/ETM
엄마지만	엄마/NNG + 이/VCP + 지만/EC
내	나/NP + 의/JKG
아이가	아이/NNG + 가/JKS
조국을	조국/NNG + 을/JKO
버리고	버리/VV + 고/EC
미국	미국/NNP
국적을	국적/NNG + 을/JKO
갖는다고	갖/VV + 는다고/EC
생각하면	생각/NNG + 하/XSV + 면/EC
얼굴이	얼굴/NNG + 이/JKS
다	다/MAG
달아오른다.	달아오르/VV + ㄴ다/EF + ./SF

세상의	세상/NNG + 의/JKG
어디에	어디/NP + 에/JKB
있든	있/VV + 든/EC
자신의	자신/NNG + 의/JKG
조국과	조국/NNG + 과/JC
뿌리는	뿌리/NNG + 는/JX
대한민국임을	대한민국/NNP + 이/VCP + ㅁ/ETN + 을/JKO
잊지	잊/VV + 지/EC
않게	않/VX + 게/EC
해야	하/VV + 아야/EC
할	하/VX + ㄹ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

그	그/MM
아이에게	아이/NNG + 에게/JKB
진정한	진정/XR + 하/XSA + ㄴ/ETM
강인함과	강인/XR + 하/XSA + ㅁ/ETN + 과/JC
자긍심을	자긍심/NNG + 을/JKO
주기를	주/VV + 기/ETN + 를/JKO
원한다면	원하/VV + ㄴ다면/EC
말이다.	말/NNG + 이/VCP + 다/EF + ./SF

앞으로는	앞/NNG + 으로/JKB + 는/JX
사회	사회/NNG
지도층	지도/NNG + 층/XSN
인사들이	인사/NNG + 들/XSN + 이/JKS
더	더/MAG
이상	이상/NNG
이런	이런/MM
일에	일/NNG + 에/JKB
앞장서지	앞장서/VV + 지/EC
말	말/VX + ㄹ/ETM
것을	것/NNB + 을/JKO
기대해	기대/NNG + 하/XSV + 아/EC
본다.	보/VX + ㄴ다/EF + ./SF

/조정의	//SP + 조정의/NNP
41·주부·서울	41/SN + ·/SP + 주부/NNG + ·/SP + 서울/NNP
도봉구	도봉구/NNP

◈'오늘의	◈/SW + '/SS + 오늘/NNG + 의/JKG
운세'코너	운세/NNG + '/SS + 코너/NNG
없애주길	없애/VV + 어/EC + 주/VX + 기/ETN + ㄹ/JKO

조선일보를	조선일보/NNP + 를/JKO
포함해	포함/NNG + 하/XSV + 아/EC
우리나라에서	우리나라/NNG + 에서/JKB
발행되는	발행/NNG + 되/XSV + 는/ETM
대부분	대부분/NNG
신문에	신문/NNG + 에/JKB
십이지간지	십/NR + 이/VCP + 지/EC + 가/VX + ㄴ지/EC
동물을	동물/NNG + 을/JKO
응용한	응용/NNG + 하/XSV + ㄴ/ETM
'오늘의	'/SS + 오늘/NNG + 의/JKG
운세'라는	운세/NNG + '/SS + 이/VCP + 라는/ETM
지면이	지면/NNG + 이/JKS
있는	있/VV + 는/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

나는	나/NP + 는/JX
그것을	그것/NP + 을/JKO
볼	보/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
우리	우리/NP
나라가	나라/NNG + 가/JKS
과연	과연/MAG
21세기	21/SN + 세기/NNG
문명국가인가,	문명국가/NNG + 이/VCP + ㄴ가/EC + ,/SP
아니면	아니/VCN + 면/EC
점이나	점/NNG + 이나/JX
보고	보/VV + 고/EC
운세나	운세/NNG + 나/JX
점치는	점치/VV + 는/ETM
중세에	중세/NNG + 에/JKB
살고	살/VV + 고/EC
있는	있/VX + 는/ETM
국가인가	국가/NNG + 이/VCP + ㄴ가/EC
혼란스럽다.	혼란/NNG + 스럽/XSA + 다/EF + ./SF

처음에는	처음/NNG + 에/JKB + 는/JX
스포츠	스포츠/NNG
신문,	신문/NNG + ,/SP
주간지	주간지/NNG
등에만	등/NNB + 에/JKB + 만/JX
실리던	실리/VV + 던/ETM
것을	것/NNB + 을/JKO
이제	이제/MAG
중앙일간지와	중앙/NNG + 일간지/NNG + 와/JC
지방신문	지방/NNG + 신문/NNG
등	등/NNB
우리나라에서	우리나라/NNG + 에서/JKB
발행되는	발행/NNG + 되/XSV + 는/ETM
거의	거의/MAG
모든	모든/MM
신문에서	신문/NNG + 에서/JKB
경쟁적으로	경쟁/NNG + 적/XSN + 으로/JKB
싣고	싣/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

OECD(경제협력개발기구)	OECD/SL + (/SS + 경제/NNG + 협력/NNG + 개발/NNG + 기구/NNG + )/SS
국가에서는	국가/NNG + 에서/JKB + 는/JX
아마	아마/MAG
우리나라가	우리나라/NNG + 가/JKS
유독	유독/MAG
그	그/MM
정도가	정도/NNG + 가/JKS
지나친	지나치/VA + ㄴ/ETM
것	것/NNB
같아	같/VA + 아/EC
부끄러운	부끄럽/VA + ㄴ/ETM
일이라	일/NNG + 이/VCP + 라/EC
생각된다.	생각/NNG + 되/XSV + ㄴ다/EF + ./SF

지금이	지금/NNG + 이/JKS
어느	어느/MM
때인가?	때/NNG + 이/VCP + ㄴ가/EF + ?/SF

그런	그런/MM
식으로	식/NNG + 으로/JKB
판매부수	판매/NNG + 부수/NNG
증가나	증가/NNG + 나/JC
독자	독자/NNG
확보를	확보/NNG + 를/JKO
노리는	노리/VV + 는/ETM
수법은	수법/NNG + 은/JX
바람직하지	바람직/XR + 하/XSA + 지/EC
못하다는	못하/VX + 다는/ETM
느낌이다.	느낌/NNG + 이/VCP + 다/EF + ./SF

신문의	신문/NNG + 의/JKG
권위를	권위/NNG + 를/JKO
스스로	스스로/MAG
떨어뜨리는	떨어뜨리/VV + 는/ETM
행위로	행위/NNG + 로/JKB
보는	보/VV + 는/ETM
독자도	독자/NNG + 도/JX
적지	적/VA + 지/EC
않다는	않/VX + 다는/ETM
점을	점/NNG + 을/JKO
고려,	고려/NNG + ,/SP
오늘의	오늘/NNG + 의/JKG
운세를	운세/NNG + 를/JKO
그만두길	그만두/VV + 기/ETN + ㄹ/JKO
바란다.	바라/VV + ㄴ다/EF + ./SF

미신에	미신/NNG + 에/JKB
의존하지	의존/NNG + 하/XSV + 지/EC
않고	않/VX + 고/EC
품위있는	품위/NNG + 있/VV + 는/ETM
신문을	신문/NNG + 을/JKO
원한다.	원하/VV + ㄴ다/EF + ./SF

그것을	그것/NP + 을/JKO
볼	보/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없는	없/VA + 는/ETM
독자들은	독자/NNG + 들/XSN + 은/JX
그날의	그날/NNG + 의/JKG
운세	운세/NNG
판단에	판단/NNG + 에/JKB
따라	따르/VV + 아/EC
기분이	기분/NNG + 이/JKS
좌우될	좌우/NNG + 되/XSV + ㄹ/ETM
수도	수/NNB + 도/JX
있다.	있/VV + 다/EF + ./SF

그러한	그러/XR + 하/XSA + ㄴ/ETM
미신에	미신/NNG + 에/JKB
의존하게끔	의존/NNG + 하/XSV + 게끔/EC
하는	하/VX + 는/ETM
신문사들이	신문사/NNG + 들/XSN + 이/JKS
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

그것은	그것/NP + 은/JX
지면	지면/NNG
낭비이며	낭비/NNG + 이/VCP + 며/EC
비생산적인	비/XPN + 생산/NNG + 적/XSN + 이/VCP + ㄴ/ETM
기사다.	기사/NNG + 이/VCP + 다/EF + ./SF

민족지로서	민족지/NNG + 로서/JKB
정통	정통/NNG
중앙일간지로서	중앙/NNG + 일간지/NNG + 로서/JKB
품위를	품위/NNG + 를/JKO
지켜주길	지키/VV + 어/EC + 주/VX + 기/ETN + 를/JKO
바라며	바라/VV + 며/EC
조선일보만이라도	조선일보/NNP + 만/JX + 이/VCP + 라도/EC
먼저	먼저/MAG
그러한	그러/XR + 하/XSA + ㄴ/ETM
지면을	지면/NNG + 을/JKO
삭제해	삭제/NNG + 하/XSV + 아/EC
주기를	주/VX + 기/ETN + 를/JKO
기대한다.	기대/NNG + 하/XSV + ㄴ다/EF + ./SF

▴12일자	▴/SW + 12/SN + 일자/NNG
49면	49/SN + 면/NNG
'옵션시장	'/SS + 옵션/NNG + 시장/NNG
거래량'	거래량/NNG + '/SS
기사에서	기사/NNG + 에서/JKB
올해	올해/NNG
주가지수옵션시장의	주가/NNG + 지수/NNG + 옵션/NNG + 시장/NNG + 의/JKG
하루	하루/NNG
평균	평균/NNG
거래량은	거래량/NNG + 은/JX
6억3924만	6/SN + 억/NR + 3924/SN + 만/NR
계약이	계약/NNG + 이/JKC
아니라	아니/VCN + 라/EC
633만	633/SN + 만/NR
계약입니다.	계약/NNG + 이/VCP + ㅂ니다/EF + ./SF

최근	최근/NNG
부산지법	부산지법/NNP
가정지원이	가정/NNG + 지원/NNG + 이/JKS
성(性)전환자의	성/NNG + (/SS + 性/SH + )/SS + 전환자/NNG + 의/JKG
호적상	호적/NNG + 상/XSN
성별	성/NNG + 별/XSN
변경을	변경/NNG + 을/JKO
허락했는데,	허락/NNG + 하/XSV + 았/EP + 는데/EC + ,/SP
우리	우리/NP
국민의	국민/NNG + 의/JKG
10명	10/SN + 명/NNB
중	중/NNB
7명은	7/SN + 명/NNB + 은/JX
성전환자가	성전환자/NNG + 가/JKS
성전환	성전환/NNG
수술	수술/NNG
이후의	이후/NNG + 의/JKG
성으로	성/NNG + 으로/JKB
호적변경을	호적/NNG + 변경/NNG + 을/JKO
원한다면	원하/VV + ㄴ다면/EC
'변경해줘야	'/SS + 변경/NNG + 하/XSV + 아/EC + 주/VX + 어야/EC
한다'는	하/VX + ㄴ다/EC + '/SS + 는/ETM
의견을	의견/NNG + 을/JKO
갖고	갖/VV + 고/EC
있는	있/VX + 는/ETM
것으로	것/NNB + 으로/JKB
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

이	이/MM
같은	같/VA + 은/ETM
사실은	사실/NNG + 은/JX
지난	지나/VV + ㄴ/ETM
12일	12/SN + 일/NNB
모바일	모바일/NNG
여론조사	여론/NNG + 조사/NNG
전문기관인	전문/NNG + 기관/NNG + 이/VCP + ㄴ/ETM
엠비존(대표	엠비존/NNP + (/SS + 대표/NNG
김용선·김용선)이	김용선/NNP + ·/SP + 김용선/NNP + )/SS + 이/JKS
전국	전국/NNG
20세	20/SN + 세/NNB
이상	이상/NNG
1116명을	1116/SN + 명/NNB + 을/JKO
대상으로	대상/NNG + 으로/JKB
이동전화를	이동/NNG + 전화/NNG + 를/JKO
이용한	이용/NNG + 하/XSV + ㄴ/ETM
여론조사를	여론/NNG + 조사/NNG + 를/JKO
실시한	실시/NNG + 하/XSV + ㄴ/ETM
결과에서	결과/NNG + 에서/JKB
밝혀졌다.	밝히/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

이	이/MM
조사에서	조사/NNG + 에서/JKB
성전환자의	성전환자/NNG + 의/JKG
호적상	호적/NNG + 상/XSN
성별	성/NNG + 별/XSN
변경에	변경/NNG + 에/JKB
대해	대하/VV + 아/EC
응답자의	응답자/NNG + 의/JKG
73%가	73/SN + %/SW + 가/JKS
'변경해줘야	'/SS + 변경/NNG + 하/XSV + 아/EC + 주/VX + 어야/EC
한다'며	하/VX + ㄴ다/EC + '/SS + 며/EC
찬성했으며,	찬성/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
'변경해주어서는	'/SS + 변경/NNG + 하/XSV + 아/EC + 주/VX + 어서/EC + 는/JX
안	안/MAG
된다'는	되/VV + ㄴ다/EC + '/SS + 는/ETM
반대	반대/NNG
의견은	의견/NNG + 은/JX
22%에	22/SN + %/SW + 에/JKB
머물렀다.	머무르/VV + 었/EP + 다/EF + ./SF

남성(66%)에	남성/NNG + (/SS + 66/SN + %/SW + )/SS + 에/JKB
비해서는	비하/VV + 아서/EC + 는/JX
여성(80%)의	여성/NNG + (/SS + 80/SN + %/SW + )/SS + 의/JKG
성전환자의	성전환자/NNG + 의/JKG
호적변경에	호적/NNG + 변경/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
찬성	찬성/NNG
비율이	비율/NNG + 이/JKS
더	더/MAG
높았다.	높/VA + 았/EP + 다/EF + ./SF

지난해	지난해/NNG
7월	7/SN + 월/NNB
한국갤럽의	한국갤럽/NNP + 의/JKG
동일한	동일/NNG + 하/XSA + ㄴ/ETM
조사에서	조사/NNG + 에서/JKB
성전환자의	성전환자/NNG + 의/JKG
호적을	호적/NNG + 을/JKO
'변경해줘야	'/SS + 변경/NNG + 하/XSV + 아/EC + 주/VX + 어야/EC
한다'는	하/VX + ㄴ다/EC + '/SS + 는/ETM
응답이	응답/NNG + 이/JKS
59%였던	59/SN + %/SW + 이/VCP + 었/EP + 던/ETM
것과	것/NNB + 과/JKB
비교하면	비교/NNG + 하/XSV + 면/EC
1년	1/SN + 년/NNB
만에	만/NNB + 에/JKB
성전환자	성전환자/NNG
호적변경에	호적/NNG + 변경/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
찬성	찬성/NNG
비율이	비율/NNG + 이/JKS
14%포인트	14/SN + %/SW + 포인트/NNG
증가했다.	증가/NNG + 하/XSV + 았/EP + 다/EF + ./SF

'성전환	'/SS + 성전환/NNG
수술을	수술/NNG + 을/JKO
받아서	받/VV + 아서/EC
자신에게	자신/NNG + 에게/JKB
주어진	주어지/VV + ㄴ/ETM
성을	성/NNG + 을/JKO
바꾸는	바꾸/VV + 는/ETM
것'에	것/NNB + '/SS + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
'개인적인	'/SS + 개인/NNG + 적/XSN + 이/VCP + ㄴ/ETM
사정에	사정/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
바꿀	바꾸/VV + ㄹ/ETM
수	수/NNB
있다'는	있/VV + 다/EC + '/SS + 는/ETM
긍정적	긍정/NNG + 적/XSN
평가가	평가/NNG + 가/JKS
54%로	54/SN + %/SW + 로/JKB
'자연의	'/SS + 자연/NNG + 의/JKG
이치를	이치/NNG + 를/JKO
거스르는	거스르/VV + 는/ETM
일로서	일/NNG + 로서/JKB
해서는	하/VV + 아서/EC + 는/JX
안	안/MAG
된다'(40%)에	되/VV + ㄴ다/EC + '/SS + (/SS + 40/SN + %/SW + )/SS + 에/JKB
비해	비하/VV + 아/EC
높았다.	높/VA + 았/EP + 다/EF + ./SF

'남자가	'/SS + 남자/NNG + 가/JKS
여자로	여자/NNG + 로/JKB
성전환수술을	성전환/NNG + 수술/NNG + 을/JKO
받았다면	받/VV + 았/EP + 다면/EC
이	이/MM
사람을	사람/NNG + 을/JKO
남자로	남자/NNG + 로/JKB
봐야	보/VV + 아야/EC
하는가,	하/VX + 는가/EC + ,/SP
아니면	아니/VCN + 면/EC
여자로	여자/NNG + 로/JKB
봐야	보/VV + 아야/EC
하는가'란	하/VX + 는가/EC + '/SS + 이/VCP + 란/ETM
물음에도	물음/NNG + 에/JKB + 도/JX
과반수인	과반수/NNG + 이/VCP + ㄴ/ETM
65%가	65/SN + %/SW + 가/JKS
성전환	성전환/NNG
수술	수술/NNG
이후의	이후/NNG + 의/JKG
성(性)인	성/NNG + (/SS + 性/SH + )/SS + 이/VCP + ㄴ/ETM
'여자로	'/SS + 여자/NNG + 로/JKB
봐야	보/VV + 아야/EC
한다'고	하/VX + ㄴ다/EC + '/SS + 고/JKQ
답했다.	답/NNG + 하/XSV + 았/EP + 다/EF + ./SF

반면,	반면/NNG + ,/SP
'계속	'/SS + 계속/MAG
남자로	남자/NNG + 로/JKB
봐야한다'는	보/VV + 아야/EC + 하/VX + ㄴ다/EF + '/SS + 는/JX
24%로	24/SN + %/SW + 로/JKB
소수였다.	소수/NNG + 이/VCP + 었/EP + 다/EF + ./SF

하지만,	하지만/MAJ + ,/SP
타인들의	타인/NNG + 들/XSN + 의/JKG
성전환에	성전환/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
대체로	대체로/MAG
관대했던	관대/XR + 하/XSA + 았/EP + 던/ETM
것과	것/NNB + 과/JKB
달리	달리/MAG
자신의	자신/NNG + 의/JKG
가족이나	가족/NNG + 이나/JC
친구	친구/NNG
등	등/NNB
가까운	가깝/VA + ㄴ/ETM
사람들의	사람/NNG + 들/XSN + 의/JKG
성전환에	성전환/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
그다지	그다지/MAG
관대한	관대/XR + 하/XSA + ㄴ/ETM
편이	편/NNB + 이/JKC
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

'만약,	'/SS + 만약/NNG + ,/SP
가족이나	가족/NNG + 이나/JC
친구가	친구/NNG + 가/JKS
성전환	성전환/NNG
수술을	수술/NNG + 을/JKO
하겠다고	하/VV + 겠/EP + 다고/EC
나선다면	나서/VV + ㄴ다면/EC
어떻게	어떻/VA + 게/EC
하겠는가'란	하/VV + 겠/EP + 는가/EC + '/SS + 이/VCP + 란/ETM
질문에	질문/NNG + 에/JKB
'성전환을	'/SS + 성전환/NNG + 을/JKO
못하게	못/MAG + 하/XSV + 게/EC
말리겠다'(51%)는	말리/VV + 겠/EP + 다/EF + '/SS + (/SS + 51/SN + %/SW + )/SS + 는/JX
의견이	의견/NNG + 이/JKS
'성전환을	'/SS + 성전환/NNG + 을/JKO
할	하/VV + ㄹ/ETM
수	수/NNB
있게	있/VV + 게/EC
도와주겠다'(34%)에	도와주/VV + 겠/EP + 다/EF + '/SS + (/SS + 34/SN + %/SW + )/SS + 에/JKB
비해	비하/VV + 아/EC
훨씬	훨씬/MAG
많았다.	많/VA + 았/EP + 다/EF + ./SF

<그래픽>	</SS + 그래픽/NNG + >/SS
성전환자의	성전환자/NNG + 의/JKG
호적변경?	호적/NNG + 변경/NNG + ?/SF

월드컵	월드컵/NNG
4강	4/SN + 강/NNG
신화를	신화/NNG + 를/JKO
계승하는	계승/NNG + 하/XSV + 는/ETM
과제를	과제/NNG + 를/JKO
놓고	놓/VV + 고/EC
온	온/MM
나라가	나라/NNG + 가/JKS
지혜를	지혜/NNG + 를/JKO
모으고	모으/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

히딩크식	히딩크식/NNG
경영을	경영/NNG + 을/JKO
도입하자는	도입/NNG + 하/XSV + 자는/ETM
제안부터	제안/NNG + 부터/JX
시청	시청/NNG
앞을	앞/NNG + 을/JKO
문화공간으로	문화/NNG + 공간/NNG + 으로/JKB
만들자는	만들/VV + 자는/ETM
주장까지	주장/NNG + 까지/JX
다양한	다양/NNG + 하/XSA + ㄴ/ETM
논의가	논의/NNG + 가/JKS
전개되고	전개/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
누가	누구/NP + 가/JKS
무어라	무엇/NP + 이/VCP + 라/EC
해도	하/VV + 아도/EC
이번	이번/NNG
신화의	신화/NNG + 의/JKG
가장	가장/MAG
큰	크/VA + ㄴ/ETM
성과는	성과/NNG + 는/JX
우리	우리/NP
민족	민족/NNG
모두가	모두/NNG + 가/JKS
한국인으로	한국인/NNG + 으로/JKB
태어난	태어나/VV + ㄴ/ETM
것을	것/NNB + 을/JKO
자랑스럽게	자랑/NNG + 스럽/XSA + 게/EC
생각하게	생각/NNG + 하/XSV + 게/EC
되었다는	되/VV + 었/EP + 다는/ETM
사실이다.	사실/NNG + 이/VCP + 다/EF + ./SF

태극전사들의	태극/NNG + 전사/NNG + 들/XSN + 의/JKG
기량이	기량/NNG + 이/JKS
유럽의	유럽/NNP + 의/JKG
축구	축구/NNG
강국들을	강국/NNG + 들/XSN + 을/JKO
하나하나	하나하나/MAG
무너뜨릴	무너뜨리/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
우리는	우리/NP + 는/JX
'대~한민국'을	'/SS + 대/NA + ~/SO + 한민국/NA + '/SS + 을/JKO
절로	절로/MAG
외치지	외치/VV + 지/EC
않을	않/VX + 을/ETM
수	수/NNB
없었다.	없/VA + 었/EP + 다/EF + ./SF

더욱	더욱/MAG
놀라운	놀랍/VA + ㄴ/ETM
일은	일/NNG + 은/JX
승리를	승리/NNG + 를/JKO
더할	더/MAG + 하/XSV + ㄹ/ETM
때마다	때/NNG + 마다/JX
확인할	확인/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있었던	있/VV + 었/EP + 던/ETM
높은	높/VA + 은/ETM
수준의	수준/NNG + 의/JKG
응원문화였다.	응원/NNG + 문화/NNG + 이/VCP + 었/EP + 다/EF + ./SF

어느	어느/MM
국민인들	국민/NNG + 이/VCP + ㄴ들/EC
제	저/NP + 의/JKG
나라	나라/NNG
선수들이	선수/NNG + 들/XSN + 이/JKS
승리할	승리/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
기뻐하지	기뻐하/VV + 지/EC
않겠는가마는	않/VX + 겠/EP + 는가마는/EC
우리	우리/NP
국민은	국민/NNG + 은/JX
전	전/MM
세계의	세계/NNG + 의/JKG
언론이	언론/NNG + 이/JKS
앞다투어	앞/NNG + 다투/VV + 어/EC
보도하지	보도/NNG + 하/XSV + 지/EC
않을	않/VX + 을/ETM
수	수/NNB
없었던,	없/VA + 었/EP + 던/ETM + ,/SP
정말이지	정말/NNG + 이/VCP + 지/EC
건강하고	건강/NNG + 하/XSA + 고/EC
활기찬	활기차/VA + ㄴ/ETM
모습의	모습/NNG + 의/JKG
거리응원을	거리/NNG + 응원/NNG + 을/JKO
선보였다.	선보이/VV + 었/EP + 다/EF + ./SF

동원이	동원/NNG + 이/JKC
아닌	아니/VCN + ㄴ/ETM
