엊그제	엊그제/NNG
▶쿠데타의	▶/SW + 쿠데타/NNG + 의/JKG
충격이	충격/NNG + 이/JKS
그를	그/NP + 를/JKO
그렇게	그렇/VA + 게/EC
만든	만들/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

크리미아	크리미아/NNP
반도의	반도/NNG + 의/JKG
별장에서	별장/NNG + 에서/JKB
쿠데타	쿠데타/NNG
병력들에	병력/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
억류당했을	억류/NNG + 당하/XSV + 았/EP + 을/ETM
때	때/NNG
그는	그/NP + 는/JX
엄청난	엄청나/VA + ㄴ/ETM
심리적	심리/NNG + 적/XSN
충격을	충격/NNG + 을/JKO
받았을	받/VV + 았/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

"그들에게	"/SS + 그/NP + 들/XSN + 에게/JKB
굴복하느니	굴복/NNG + 하/XSV + 느니/EC
차라리	차라리/MAG
죽을	죽/VV + 을/ETM
결심을	결심/NNG + 을/JKO
했다"는	하/VV + 았/EP + 다/EC + "/SS + 는/ETM
결의에도	결의/NNG + 에/JKB + 도/JX
불구하고	불구/XR + 하/XSV + 고/EC
그는	그/NP + 는/JX
치욕과	치욕/NNG + 과/JC
좌절을	좌절/NNG + 을/JKO
경험했을	경험/NNG + 하/XSV + 았/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

▶2	▶/SW + 2/SN
3일의	3/SN + 일/NNB + 의/JKG
러시아공	러시아공/NNP
의회에서	의회/NNG + 에서/JKB
고르바초프는	고르바초프/NNP + 는/JX
또	또/MAG
한	한/MM
번	번/NNB
큰	크/VA + ㄴ/ETM
모욕을	모욕/NNG + 을/JKO
당했다.	당하/VV + 았/EP + 다/EF + ./SF

이번에는	이번/NNG + 에/JKB + 는/JX
옐친으로부터였다.	옐친/NNP + 으로부터/JKB + 이/VCP + 었/EP + 다/EF + ./SF

그는	그/NP + 는/JX
공산당원의	공산당원/NNG + 의/JKG
대부분이	대부분/NNG + 이/JKS
쿠데타에	쿠데타/NNG + 에/JKB
반대했다면서	반대/NNG + 하/XSV + 았/EP + 다면서/EC
공산당을	공산당/NNP + 을/JKO
옹호하려	옹호/NNG + 하/XSV + 려/EC
했으나	하/VX + 았/EP + 으나/EC
옐친으로부터	옐친/NNP + 으로부터/JKB
각료	각료/NNG
회의	회의/NNG
의사록을	의사록/NNG + 을/JKO
읽도록	읽/VV + 도록/EC
강요받고	강요받/VV + 고/EC
결국	결국/NNG
포고령에	포고령/NNG + 에/JKB
서명했다.	서명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
그는	그/NP + 는/JX
자신이	자신/NNG + 이/JKS
대통령	대통령/NNG
직무를	직무/NNG + 를/JKO
수행할	수행/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없게	없/VA + 게/EC
될	되/VV + ㄹ/ETM
경우	경우/NNG
옐친이	옐친/NNP + 이/JKS
대신	대신/NNG
권한을	권한/NNG + 을/JKO
갖게	갖/VV + 게/EC
되리라고	되/VV + 리라고/EC
덧붙여야	덧붙이/VV + 어야/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

▶연설을	▶/SW + 연설/NNG + 을/JKO
마치고	마치/VV + 고/EC
나올	나오/VV + ㄹ/ETM
때	때/NNG
고르비는	고르비/NNP + 는/JX
다시	다시/MAG
1천여	1/SN + 천/NR + 여/XSN
시민에게	시민/NNG + 에게/JKB
둘러싸여	둘러싸이/VV + 어/EC
큰	크/VA + ㄴ/ETM
봉변을	봉변/NNG + 을/JKO
당했다.	당하/VV + 았/EP + 다/EF + ./SF

일부는	일부/NNG + 는/JX
"당신은	"/SS + 당신/NP + 은/JX
체포된	체포/NNG + 되/XSV + ㄴ/ETM
자들	자/NNB + 들/XSN
편이다"	편/NNG + 이/VCP + 다/EC + "/SS
"유혈	"/SS + 유혈/NNG
사태로	사태/NNG + 로/JKB
죽은	죽/VV + 은/ETM
사람들은	사람/NNG + 들/XSN + 은/JX
당신	당신/NP
때문에	때문/NNB + 에/JKB
피를	피/NNG + 를/JKO
흘렸다"는	흘리/VV + 었/EP + 다/EC + "/SS + 는/ETM
플래카드까지	플래카드/NNG + 까지/JX
흔들었다.	흔들/VV + 었/EP + 다/EF + ./SF

그의	그/NP + 의/JKG
승용차를	승용차/NNG + 를/JKO
가로막고	가로막/VV + 고/EC
지붕을	지붕/NNG + 을/JKO
두드리는	두드리/VV + 는/ETM
무례한	무례/NNG + 하/XSA + ㄴ/ETM
시위자까지	시위자/NNG + 까지/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

▶"고르바초프	▶/SW + "/SS + 고르바초프/NNP
시대의	시대/NNG + 의/JKG
종막은	종막/NNG + 은/JX
불가피하다"고	불가피/XR + 하/XSA + 다/EC + "/SS + 고/JKQ
브레진스키	브레진스키/NNP
전	전/MM
미국	미국/NNP
대통령	대통령/NNG
보좌관이	보좌관/NNG + 이/JKS
21일	21/SN + 일/NNB
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

"쿠데타의	"/SS + 쿠데타/NNG + 의/JKG
주모자	주모자/NNG
여덟명은	여덟/NR + 명/NNB + 은/JX
모두	모두/MAG
그가	그/NP + 가/JKS
임명한	임명/NNG + 하/XSV + ㄴ/ETM
사람들이며	사람/NNG + 들/XSN + 이/VCP + 며/EC
그	그/MM
책임은	책임/NNG + 은/JX
면할	면하/VV + ㄹ/ETM
수	수/NNB
없다"는	없/VA + 다/EC + "/SS + 는/ETM
게	것/NNB + 이/JKS
그	그/MM
이유다.	이유/NNG + 이/VCP + 다/EF + ./SF

고르바	고르바/NNP
자신이	자신/NNG + 이/JKS
그의	그/NP + 의/JKG
실수를	실수/NNG + 를/JKO
잘	잘/MAG
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

사람을	사람/NNG + 을/JKO
잘못	잘못/MAG
쓴	쓰/VV + ㄴ/ETM
지도자는	지도자/NNG + 는/JX
이런	이런/MM
처지가	처지/NNG + 가/JKC
된다는	되/VV + ㄴ다는/ETM
교훈을	교훈/NNG + 을/JKO
우리네	우리/NP + 네/XSN
정치가들도	정치가/NNG + 들/XSN + 도/JX
깨달아야	깨닫/VV + 아야/EC
할	하/VX + ㄹ/ETM
게다.	것/NNB + 이/VCP + 다/EF + ./SF

내년도	내년도/NNG
예산	예산/NNG
규모를	규모/NNG + 를/JKO
둘러싸고	둘러싸/VV + 고/EC
당정간의	당정/NNG + 간/NNB + 의/JKG
'핑퐁'게임이	'/SS + 핑퐁/NNG + '/SS + 게임/NNG + 이/JKS
한창이다.	한창/NNG + 이/VCP + 다/EF + ./SF

민자당은	민자당/NNP + 은/JX
정부가	정부/NNG + 가/JKS
24일	24/SN + 일/NNB
내년도	내년도/NNG
일반	일반/NNG
회계	회계/NNG
본예산을	본예산/NNG + 을/JKO
올해	올해/NNG
본예산	본예산/NNG
대비,	대비/NNG + ,/SP
24.2%	24/SN + ./SP + 2/SN + %/SW
늘어난	늘어나/VV + ㄴ/ETM
33조	33/SN + 조/NR
5천	5/SN + 천/NR
50억원	50/SN + 억/NR + 원/NNB
규모의	규모/NNG + 의/JKG
팽창	팽창/NNG
예산으로	예산/NNG + 으로/JKB
잠정	잠정/NNG
편성하자	편성/NNG + 하/XSV + 자/EC
강력히	강력히/MAG
반발하고	반발/NNG + 하/XSV + 고/EC
나섰다.	나서/VV + 었/EP + 다/EF + ./SF

나웅배	나웅배/NNP
정책위	정책위/NNG
의장은	의장/NNG + 은/JX
이날	이날/NNG
"정부가	"/SS + 정부/NNG + 가/JKS
사회	사회/NNG
간접	간접/NNG
자본	자본/NNG
확충과	확충/NNG + 과/JC
공무원	공무원/NNG
처우	처우/NNG
개선을	개선/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
편성이라고	편성/NNG + 이/VCP + 라고/EC
주장하고	주장/NNG + 하/XSV + 고/EC
있으나,	있/VX + 으나/EC + ,/SP
물가	물가/NNG
불안	불안/NNG
국제	국제/NNG
수지	수지/NNG
적자	적자/NNG
등	등/NNB
어려운	어렵/VA + ㄴ/ETM
사정을	사정/NNG + 을/JKO
감안할	감안/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
지금은	지금/NNG + 은/JX
내핍을	내핍/NNG + 을/JKO
통한	통하/VV + ㄴ/ETM
안정	안정/NNG
기조	기조/NNG
구축이	구축/NNG + 이/JKS
중요한	중요/NNG + 하/XSA + ㄴ/ETM
때"라고	때/NNG + "/SS + 라고/JKQ
반대	반대/NNG
입장을	입장/NNG + 을/JKO
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

민자당의	민자당/NNP + 의/JKG
이	이/NP
같은	같/VA + 은/ETM
반응은	반응/NNG + 은/JX
이미	이미/MAG
내년	내년/NNG
예산을	예산/NNG + 을/JKO
23%	23/SN + %/SW
증가시키고	증가/NNG + 시키/XSV + 고/EC
의견을	의견/NNG + 을/JKO
모은	모으/VV + ㄴ/ETM
지난	지나/VV + ㄴ/ETM
번	번/NNB
당-정간의	당/NNG + -/SS + 정/NNG + 간/NNB + 의/JKG
내부적	내부/NNG + 적/XSN
합의를	합의/NNG + 를/JKO
정부가	정부/NNG + 가/JKS
일방적으로	일방/NNG + 적/XSN + 으로/JKB
깬데	깨/VV + ㄴ데/EC
대한	대하/VV + ㄴ/ETM
우선적인	우선/NNG + 적/XSN + 이/VCP + ㄴ/ETM
불쾌감에	불쾌감/NNG + 에/JKB
따른것.	따르/VV + ㄴ/ETM + 것/NNB + ./SF

당정간	당정/NNG + 간/NNB
이견인	이견/NNG + 이/VCP + ㄴ/ETM
'1.	'/SS + 1/SN + ./SF

2%'를	2/SN + %/SW + '/SS + 를/JKO
금액으로	금액/NNG + 으로/JKB
환산하면	환산/NNG + 하/XSV + 면/EC
3천	3/SN + 천/NR
2백억원이다.	2/SN + 백억/NR + 원/NNB + 이/VCP + 다/EF + ./SF

당	당/NNG
쪽에서는	쪽/NNB + 에서/JKB + 는/JX
"모두들	"/SS + 모두/NNG + 들/XSN
경제가	경제/NNG + 가/JKS
큰	크/VA + ㄴ/ETM
일이라고	일/NNG + 이/VCP + 라고/EC
걱정인데,	걱정/NNG + 이/VCP + ㄴ데/EC + ,/SP
정부가	정부/NNG + 가/JKS
공무원	공무원/NNG
처우	처우/NNG
개선	개선/NNG
등	등/NNB
명목으로	명목/NNG + 으로/JKB
수천억씩	수천억/NR + 씩/XSN
증액하겠다니	증액/NNG + 하/XSV + 겠/EP + 다니/EC
납득하기	납득/NNG + 하/XSV + 기/ETN
힘들다"고	힘들/VA + 다/EC + "/SS + 고/JKQ
흥분하고	흥분/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
23%건,	23/SN + %/SW + 이/VCP + 건/EC + ,/SP
24.2%건	24/SN + ./SP + 2/SN + %/SW + 이/VCP + 건/EC
그것은	그것/NP + 은/JX
81년	81/SN + 년/NNB
이후	이후/NNG
최대의	최대/NNG + 의/JKG
팽창	팽창/NNG
예산이다.	예산/NNG + 이/VCP + 다/EF + ./SF

한마디로	한마디/NNG + 로/JKB
이번	이번/NNG
예산	예산/NNG
규모는	규모/NNG + 는/JX
총선과	총선/NNG + 과/JC
지방	지방/NNG
자치	자치/NNG
단체장	단체장/NNG
선거	선거/NNG
등	등/NNB
잇달아	잇달/VV + 아/EC
있을	있/VX + 을/ETM
내년도	내년도/NNG
선거를	선거/NNG + 를/JKO
다분히	다분히/MAG
의식한	의식/NNG + 하/XSV + ㄴ/ETM
무리한	무리/NNG + 하/XSV + ㄴ/ETM
편성이란	편성/NNG + 이/VCP + 란/ETM
느낌을	느낌/NNG + 을/JKO
지울	지우/VV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

민자당의	민자당/NNP + 의/JKG
태도도	태도/NNG + 도/JX
어쩐지	어쩐지/MAG
겉과	겉/NNG + 과/JC
속이	속/NNG + 이/JKS
다른	다르/VA + ㄴ/ETM
것만	것/NNB + 만/JX
같다.	같/VA + 다/EF + ./SF

내심으로	내심/NNG + 으로/JKB
선거를	선거/NNG + 를/JKO
위해	위하/VV + 아/EC
예산은	예산/NNG + 은/JX
많을수록	많/VA + 을수록/EC
좋다는	좋/VA + 다는/ETM
정치적	정치/NNG + 적/XSN
계산을	계산/NNG + 을/JKO
하고	하/VV + 고/EC
있는	있/VX + 는/ETM
것으로	것/NNB + 으로/JKB
보여지기	보이/VV + 어/EC + 지/VX + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

내년예산에는	내년/NNG + 예산/NNG + 에/JKB + 는/JX
'6공의	'/SS + 6/SN + 공/NNG + 의/JKG
공약	공약/NNG
완수'를	완수/NNG + '/SS + 를/JKO
다짐한	다짐/NNG + 하/XSV + ㄴ/ETM
정부의	정부/NNG + 의/JKG
선거공약사업	선거/NNG + 공약/NNG + 사업/NNG
추진	추진/NNG
항목이	항목/NNG + 이/JKS
상당	상당/NNG
부분	부분/NNG
반영돼	반영/NNG + 되/XSV + 어/EC
있어	있/VX + 어/EC
근본적으로	근본/NNG + 적/XSN + 으로/JKB
삭감폭이	삭감/NNG + 폭/NNG + 이/JKS
클	크/VA + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
게	것/NNB + 이/JKS
관계자들의	관계자/NNG + 들/XSN + 의/JKG
얘기이기도	얘기/NNG + 이/VCP + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

따라서	따라서/MAJ
당정간에	당정/NNG + 간/NNB + 에/JKB
티격태격하는	티격태격/MAG + 하/XSV + 는/ETM
모습을	모습/NNG + 을/JKO
의도적으로	의도/NNG + 적/XSN + 으로/JKB
보일	보이/VV + ㄹ/ETM
것이지만,	것/NNB + 이/VCP + 지만/EC + ,/SP
결국은	결국/NNG + 은/JX
내년도	내년/NNG + 도/JX
표	표/NNG
끌어	끌/VV + 어/EC
모으기라는	모으/VV + 기/ETN + 라는/ETM
기준에	기준/NNG + 에/JKB
쫓겨	쫓기/VV + 어/EC
우물우물	우물우물/MAG
합의될	합의/NNG + 되/XSV + ㄹ/ETM
것이라는	것/NNB + 이/VCP + 라는/ETM
관측이	관측/NNG + 이/JKS
상당하다.	상당/NNG + 하/XSA + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
정부	정부/NNG
여당의	여당/NNG + 의/JKG
계산은	계산/NNG + 은/JX
'총선전략'으로서는	'/SS + 총선/NNG + 전략/NNG + '/SS + 으로서/JKB + 는/JX
유효할지	유효/NNG + 하/XSA + ㄹ지/EC
모른다.	모르/VV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
올	올/MM
8월	8/SN + 월/NNB
현재	현재/MAG
이미	이미/MAG
92억	92/SN + 억/NR
달러에	달러/NNB + 에/JKB
달한	달하/VV + ㄴ/ETM
무역	무역/NNG
수지	수지/NNG
적자,	적자/NNG + ,/SP
물가악화	물가/NNG + 악화/NNG
등	등/NNB
적신호를	적신호/NNG + 를/JKO
보이고	보이/VV + 고/EC
있는	있/VX + 는/ETM
6공의	6/SN + 공/NNG + 의/JKG
경제	경제/NNG
실상에	실상/NNG + 에/JKB
비추어	비추/VV + 어/EC
이는	이/NP + 는/JX
대단히	대단히/MAG
'위험한'일이라는	'/SS + 위험/NNG + 하/XSA + ㄴ/ETM + '/SS + 일/NNG + 이/VCP + 라는/ETM
우려가	우려/NNG + 가/JKS
팽배하고	팽배/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

향후	향후/NNG
10년	10/SN + 년/NNB
간	간/NNB
42조원을	42/SN + 조/NR + 원/NNB + 을/JKO
투자하겠다는	투자/NNG + 하/XSV + 겠/EP + 다는/ETM
민자당의	민자당/NNP + 의/JKG
'농어촌	'/SS + 농어촌/NNG
구조	구조/NNG
조정	조정/NNG
계획'도	계획/NNG + '/SS + 도/JX
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
눈총을	눈총/NNG + 을/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

재원	재원/NNG
조달	조달/NNG
문제	문제/NNG
등	등/NNB
그	그/MM
실현	실현/NNG
가능성보다	가능/NNG + 성/XSN + 보다/JKB
농촌의	농촌/NNG + 의/JKG
한	한/MM
표를	표/NNG + 를/JKO
우선	우선/MAG
고려한	고려/NNG + 하/XSV + ㄴ/ETM
'보라빛	'/SS + 보라빛/NNG
공약'이란	공약/NNG + '/SS + 이/VCP + 란/ETM
느낌이다.	느낌/NNG + 이/VCP + 다/EF + ./SF

'선거	'/SS + 선거/NNG
망국은	망국/NNG + 은/JX
둘째,	둘째/NR + ,/SP
정권이	정권/NNG + 이/JKS
첫째'라는	첫째/NR + '/SS + 이/VCP + 라는/ETM
생각을	생각/NNG + 을/JKO
하고	하/VV + 고/EC
있지	있/VX + 지/EC
않다는	않/VX + 다는/ETM
사실을	사실/NNG + 을/JKO
정부	정부/NNG
여당은	여당/NNG + 은/JX
몸으로	몸/NNG + 으로/JKB
보여줘야만	보이/VV + 어/EC + 주/VX + 어야/EC + 만/JX
하겠다.	하/VX + 겠/EP + 다/EF + ./SF

꼭	꼭/MAG
1미터짜리	1/SN + 미터/NNB + 짜리/XSN
통나무가	통나무/NNG + 가/JKC
아니라도	아니/VCN + 라도/EC
된다.	되/VV + ㄴ다/EF + ./SF

꼭	꼭/MAG
소나무가	소나무/NNG + 가/JKC
아니라도	아니/VCN + 라도/EC
된다.	되/VV + ㄴ다/EF + ./SF

그런걸	그런/MM + 것/NNB + ㄹ/JKO
소나무를	소나무/NNG + 를/JKO
고집한다.	고집/NNG + 하/XSV + ㄴ다/EF + ./SF

한	한/MM
치가	치/NNB + 가/JKS
넘어도	넘/VV + 어도/EC
퇴짜를	퇴짜/NNG + 를/JKO
놓는다.	놓/VV + 는다/EF + ./SF

규정이기	규정/NNG + 이/VCP + 기/ETN
때문이란다.	때문/NNB + 이/VCP + 란다/EF + ./SF

자의	자/NNG + 의/JKG
눈금이	눈금/NNG + 이/JKS
틀릴지도	틀리/VV + ㄹ지/EC + 도/JX
모르니	모르/VV + 니/EC
다른	다른/MM
자로	자/NNG + 로/JKB
재어	재/VV + 어/EC
보자면	보/VX + 자면/EC
꼭	꼭/MAG
이	이/MM
자에	자/NNG + 에/JKB
맞춰야	맞추/VV + 어야/EC
한다고	하/VX + ㄴ다고/EC
우긴다.	우기/VV + ㄴ다/EF + ./SF

이것이	이것/NP + 이/JKS
바로	바로/MAG
권위주의고	권위주의/NNG + 이/VCP + 고/EC
관료주의다.	관료주의/NNG + 이/VCP + 다/EF + ./SF

▶서울시는	▶/SW + 서울시/NNP + 는/JX
지하철	지하철/NNG
5호선의	5/SN + 호/NNB + 선/NNG + 의/JKG
낙원정거장	낙원/NNG + 정거장/NNG
구조물	구조물/NNG
공사를	공사/NNG + 를/JKO
위해	위하/VV + 아/EC
서너	서너/MM
개	개/NNB
건물	건물/NNG
앞면들을	앞면/NNG + 들/XSN + 을/JKO
3미터씩	3/SN + 미터/NNB + 씩/XSN
헐기로	헐/VV + 기/ETN + 로/JKB
했다.	하/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
그런지	그렇/VA + ㄴ지/EC
5	5/SN
개월이	개월/NNB + 이/JKS
지나도록	지나/VV + 도록/EC
건물	건물/NNG
주인들에게는	주인/NNG + 들/XSN + 에게/JKB + 는/JX
알려주지도	알리/VV + 어/EC + 주/VX + 지/EC + 도/JX
않았다.	않/VX + 았/EP + 다/EF + ./SF

소문을	소문/NNG + 을/JKO
듣고	듣/VV + 고/EC
나서야	나/VX + 아서/EC + 야/JX
진정하자,	진정/NNG + 하/XSV + 자/EC + ,/SP
이미	이미/MAG
결정된	결정/NNG + 되/XSV + ㄴ/ETM
것이라	것/NNB + 이/VCP + 라/EC
어쩔	어쩌/VV + ㄹ/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

그리고	그리고/MAJ
하는	하/VV + 는/ETM
말이	말/NNG + 이/JKS
"2천	"/SS + 2/SN + 천/NR
1년에는	1/SN + 년/NNB + 에/JKB + 는/JX
1일	1/SN + 일/NNB
40만여명의	40/SN + 만/NR + 여/XSN + 명/NNB + 의/JKG
많은	많/VA + 은/ETM
승객이	승객/NNG + 이/JKS
이용하게	이용/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
것"이니	것/NNB + "/SS + 이/VCP + 니/EC
양해하라는	양해/NNG + 하/XSV + 라는/ETM
것이었다.	것/NNB + 이/VCP + 었/EP + 다/EF + ./SF

▶또	▶/SW + 또/MAG
하는	하/VV + 는/ETM
말이	말/NNG + 이/JKS
잘려	잘리/VV + 어/EC
나가는	나가/VX + 는/ETM
3미터에	3/SN + 미터/NNB + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
'관련	'/SS + 관련/NNG
법규에	법규/NNG + 에/JKB
의거'	의거/NNG + '/SS
보상해	보상/NNG + 하/XSV + 아/EC
주겠다는	주/VX + 겠/EP + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

빈터를	비/VV + ㄴ/ETM + 터/NNG + 를/JKO
3미터	3/SN + 미터/NNB
자르는	자르/VV + 는/ETM
것이	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

멀쩡히	멀쩡히/MAG
서	서/VV + 어/EC
있는	있/VX + 는/ETM
건물의	건물/NNG + 의/JKG
앞면이	앞면/NNG + 이/JKS
3미터	3/SN + 미터/NNB
잘려	잘리/VV + 어/EC
나가는	나가/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

누가	누구/NP + 가/JKS
보나	보/VV + 나/EC
나머지	나머지/NNG
건물은	건물/NNG + 은/JX
못	못/MAG
쓰게	쓰/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

▶꼭	▶/SW + 꼭/MAG
헐어야만	헐/VV + 어야/EC + 만/JX
하는	하/VX + 는/ETM
것도	것/NNB + 도/JX
아니란다.	아니/VCN + 란다/EF + ./SF

동경역처럼	동경역/NNP + 처럼/JKB
지상	지상/NNG
건물은	건물/NNG + 은/JX
그냥	그냥/MAG
놔둔	놔두/VV + ㄴ/ETM
채	채/NNB
지하	지하/NNG
전체를	전체/NNG + 를/JKO
파들어갈	파/VV + 아/EC + 들어가/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있다.	있/VV + 다/EF + ./SF

그런데도	그런데/MAJ + 도/JX
서울시는	서울시/NNP + 는/JX
계속	계속/MAG
개착	개착/NNG
공법을	공법/NNG + 을/JKO
고집한다.	고집/NNG + 하/XSV + ㄴ다/EF + ./SF

아무리	아무리/MAG
떳떳한	떳떳/XR + 하/XSA + ㄴ/ETM
공공	공공/NNG
공사라도	공사/NNG + 이/VCP + 라도/EC
시민들의	시민/NNG + 들/XSN + 의/JKG
희생과	희생/NNG + 과/JC
손해를	손해/NNG + 를/JKO
최소한으로	최소한/NNG + 으로/JKB
줄이는	줄이/VV + 는/ETM
게	것/NNB + 이/JKS
시	시/NNG
당국의	당국/NNG + 의/JKG
도리요,	도리/NNG + 이/VCP + 요/EC + ,/SP
의무다.	의무/NNG + 이/VCP + 다/EF + ./SF

▶서울시는	▶/SW + 서울시/NNP + 는/JX
그	그/MM
곳이	곳/NNG + 이/JKS
환승역이라	환승역/NNG + 이/VCP + 라/EC
역사	역사/NNG
건설은	건설/NNG + 은/JX
불가피하며	불가피/XR + 하/XSA + 며/EC
피해를	피해/NNG + 를/JKO
최소화하기	최소/NNG + 화/XSN + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
표파는	표/NNG + 팔/VV + 는/ETM
곳,	곳/NNG + ,/SP
출입구,	출입구/NNG + ,/SP
변전실이	변전실/NNG + 이/JKS
위치할	위치/NNG + 하/XSV + ㄹ/ETM
41m만	41/SN + m/SL + 만/JX
개착식으로	개착식/NNG + 으로/JKB
하는	하/VV + 는/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
말하고	말/NNG + 하/XSV + 고/EC
있지만,	있/VX + 지만/EC + ,/SP
공공의	공공/NNG + 의/JKG
명분을	명분/NNG + 을/JKO
내세워	내세우/VV + 어/EC
개인의	개인/NNG + 의/JKG
피해를	피해/NNG + 를/JKO
어쩔	어쩌/VV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
것으로	것/NNB + 으로/JKB
여기는	여기/VV + 는/ETM
관의	관/NNG + 의/JKG
고질적인	고질/NNG + 적/XSN + 이/VCP + ㄴ/ETM
버릇이	버릇/NNG + 이/JKS
큰	크/VA + ㄴ/ETM
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

특히	특히/MAG
보상해주면	보상/NNG + 하/XSV + 아/EC + 주/VX + 면/EC
될	되/VV + ㄹ/ETM
것	것/NNB
아니냐는	아니/VCN + 냐는/ETM
사고	사고/NNG
방식,	방식/NNG + ,/SP
행정	행정/NNG
절차상의	절차/NNG + 상/XSN + 의/JKG
문제라며	문제/NNG + 이/VCP + 라며/EC
그	그/MM
사실을	사실/NNG + 을/JKO
5	5/SN
개월씩이나	개월/NNB + 씩/XSN + 이나/JX
숨기는	숨기/VV + 는/ETM
태도에서	태도/NNG + 에서/JKB
관의	관/NNG + 의/JKG
횡포의	횡포/NNG + 의/JKG
전형을	전형/NNG + 을/JKO
보는	보/VV + 는/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

3일	3/SN + 일/NNB
낮	낮/NNG
12시	12/SN + 시/NNB
서울	서울/NNP
코리아나	코리아나/NNP
호텔에서	호텔/NNG + 에서/JKB
열린	열리/VV + ㄴ/ETM
전국	전국/NNG
시-도의회	시/NNG + -/SS + 도의회/NNG
의장	의장/NNG
협의회	협의회/NNG
2차	2/SN + 차/NNB
회의는	회의/NNG + 는/JX
여러	여러/MM
모로	모/NNG + 로/JKB
주목을	주목/NNG + 을/JKO
끌었다.	끌/VV + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
달	달/NNG
26일	26/SN + 일/NNB
'공동	'/SS + 공동/NNG
이해가	이해/NNG + 가/JKS
걸린	걸리/VV + ㄴ/ETM
사안에	사안/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
상호	상호/NNG
협의와	협의/NNG + 와/JC
정보교환'을	정보/NNG + 교환/NNG + '/SS + 을/JKO
위해	위하/VV + 아/EC
출범한	출범/NNG + 하/XSV + ㄴ/ETM
의장	의장/NNG
협의회가	협의회/NNG + 가/JKS
불과	불과/MAG
