지나간	지나가/VV + ㄴ/ETM
낼	내/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있다는	있/VV + 다는/ETM
것을	것/NNB + 을/JKO
알아야	알/VV + 아야/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

건물의	건물/NNG + 의/JKG
규모나	규모/NNG + 나/JC
수용	수용/NNG
인원보다도	인원/NNG + 보다/JKB + 도/JX
적은	적/VA + 은/ETM
승강기의	승강기/NNG + 의/JKG
운행을	운행/NNG + 을/JKO
제한하는	제한/NNG + 하/XSV + 는/ETM
경우,	경우/NNG + ,/SP
그로부터	그/NP + 로부터/JKB
생길	생기/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있는	있/VV + 는/ETM
비경제성과	비/XPN + 경제/NNG + 성/XSN + 과/JC
불편을	불편/NNG + 을/JKO
간과해서는	간과/NNG + 하/XSV + 아서/EC + 는/JX
안	안/MAG
된다.	되/VV + ㄴ다/EF + ./SF

매사에	매사/NNG + 에/JKB
획일적인	획일/XR + 적/XSN + 이/VCP + ㄴ/ETM
대책과	대책/NNG + 과/JC
지침	지침/NNG
마련보다는	마련/NNG + 보다/JKB + 는/JX
각	각/MM
부처나	부처/NNG + 나/JC
기관의	기관/NNG + 의/JKG
실정에	실정/NNG + 에/JKB
맞는	맞/VV + 는/ETM
절약	절약/NNG
방안을	방안/NNG + 을/JKO
마련해야	마련/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

낭비가	낭비/NNG + 가/JKS
있는	있/VV + 는/ETM
곳에는	곳/NNG + 에/JKB + 는/JX
절약	절약/NNG
방안을	방안/NNG + 을/JKO
찾고,	찾/VV + 고/EC + ,/SP
오히려	오히려/MAG
불편이	불편/NNG + 이/JKS
있는	있/VV + 는/ETM
곳에는	곳/NNG + 에/JKB + 는/JX
편의	편의/NNG
시설을	시설/NNG + 을/JKO
제공함으로써	제공/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
참된	참/NNG + 되/XSA + ㄴ/ETM
절약이	절약/NNG + 이/JKS
이루어지는	이루/VV + 어/EC + 지/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

더욱	더욱/MAG
가관인	가관/NNG + 이/VCP + ㄴ/ETM
것은	것/NNB + 은/JX
자정부터	자정/NNG + 부터/JX
새벽	새벽/NNG
4시까지	4/SN + 시/NNB + 까지/JX
주유소	주유소/NNG
영업을	영업/NNG + 을/JKO
금지시키겠다는	금지/NNG + 시키/XSV + 겠/EP + 다는/ETM
게	것/NNB + 이/JKS
동자부에서	동자부/NNG + 에서/JKB
마련한	마련/NNG + 하/XSV + ㄴ/ETM
대책이다.	대책/NNG + 이/VCP + 다/EF + ./SF

지금도	지금/NNG + 도/JX
자정이	자정/NNG + 이/JKS
지난	지나/VV + ㄴ/ETM
후에도	후/NNG + 에/JKB + 도/JX
영업을	영업/NNG + 을/JKO
하는	하/VV + 는/ETM
주유소는	주유소/NNG + 는/JX
극히	극히/MAG
제한되어	제한/NNG + 되/XSV + 어/EC
있어	있/VX + 어/EC
불편이	불편/NNG + 이/JKS
있는	있/VV + 는/ETM
판에,	판/NNB + 에/JKB + ,/SP
전면	전면/NNG
금지시킨다면	금지/NNG + 시키/XSV + ㄴ다면/EC
야간에	야간/NNG + 에/JKB
운행하는	운행/NNG + 하/XSV + 는/ETM
차량들의	차량/NNG + 들/XSN + 의/JKG
불편은	불편/NNG + 은/JX
가중될	가중/NNG + 되/XSV + ㄹ/ETM
것이	것/NNB + 이/JKS
뻔하다.	뻔/XR + 하/XSA + 다/EF + ./SF

통행	통행/NNG
금지도	금지/NNG + 도/JX
없어진	없/VA + 어/EC + 지/VX + ㄴ/ETM
지	지/NNB
오래된	오래/MAG + 되/XSV + ㄴ/ETM
나라에서	나라/NNG + 에서/JKB
일부	일부/NNG
주유소의	주유소/NNG + 의/JKG
야간	야간/NNG
영업마저	영업/NNG + 마저/JX
금지시킬	금지/NNG + 시키/XSV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
권위주의적	권위주의/NNG + 적/XSN
발상도	발상/NNG + 도/JX
놀랍지만,	놀랍/VA + 지만/EC + ,/SP
그렇게	그렇/VA + 게/EC
하면	하/VV + 면/EC
에너지가	에너지/NNG + 가/JKS
절약될	절약/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
믿는	믿/VV + 는/ETM
정부	정부/NNG
당국자의	당국자/NNG + 의/JKG
발상이	발상/NNG + 이/JKS
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

나라의	나라/NNG + 의/JKG
심장부인	심장부/NNG + 이/VCP + ㄴ/ETM
서울과	서울/NNP + 과/JC
인천간에	인천/NNP + 간/NNB + 에/JKB
송유관	송유관/NNG
하나	하나/NR
없이	없이/MAG
트럭으로	트럭/NNG + 으로/JKB
기름을	기름/NNG + 을/JKO
실어	싣/VV + 어/EC
날라	나르/VV + 아/EC
막대한	막대/XR + 하/XSA + ㄴ/ETM
에너지를	에너지/NNG + 를/JKO
낭비하도록	낭비/NNG + 하/XSV + 도록/EC
방치하고	방치/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
해당	해당/NNG
부처가,	부처/NNG + 가/JKS + ,/SP
이른바	이른바/MAG
에너지	에너지/NNG
절약	절약/NNG
대책이라고	대책/NNG + 이/VCP + 라고/EC
내놓은	내놓/VV + 은/ETM
내용을	내용/NNG + 을/JKO
보면	보/VV + 면/EC
참	참/MAG
한심한	한심/XR + 하/XSA + ㄴ/ETM
생각이	생각/NNG + 이/JKS
든다.	들/VV + ㄴ다/EF + ./SF

대부분의	대부분/NNG + 의/JKG
대책들이	대책/NNG + 들/XSN + 이/JKS
2차	2/SN + 차/NNB
오일쇼크	오일/NNG + 쇼크/NNG
때	때/NNG
마련했다가	마련/NNG + 하/XSV + 았/EP + 다가/EC
제대로	제대로/MAG
시행도	시행/NNG + 도/JX
안하고	안/MAG + 하/VV + 고/EC
흐지부지	흐지부지/MAG
되었던	되/VV + 었/EP + 던/ETM
것들을	것/NNB + 들/XSN + 을/JKO
다시	다시/MAG
들고	들/VV + 고/EC
나오는	나오/VV + 는/ETM
정부	정부/NNG
관리들의	관리/NNG + 들/XSN + 의/JKG
관료주의적이고	관료주의/NNG + 적/XSN + 이/VCP + 고/EC
탁상공론적인	탁상공론/NNG + 적/XSN + 이/VCP + ㄴ/ETM
자세도	자세/NNG + 도/JX
문제다.	문제/NNG + 이/VCP + 다/EF + ./SF

우리	우리/NP
정부와	정부/NNG + 와/JC
국민들이	국민/NNG + 들/XSN + 이/JKS
평소에	평소/NNG + 에/JKB
근검	근검/NNG
절약을	절약/NNG + 을/JKO
생활화하고	생활/NNG + 화/XSN + 하/XSV + 고/EC
있었다면	있/VX + 었/EP + 다면/EC
중동에서	중동/NNP + 에서/JKB
사태가	사태/NNG + 가/JKS
발생할	발생/NNG + 하/XSV + ㄹ/ETM
때마다	때/NNG + 마다/JX
대책을	대책/NNG + 을/JKO
마련한다고	마련/NNG + 하/XSV + ㄴ다고/EC
호들갑을	호들갑/NNG + 을/JKO
떨	떨/VV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

평상시에	평상시/NNG + 에/JKB
꾸준히	꾸준히/MAG
검약을	검약/NNG + 을/JKO
실행하지	실행/NNG + 하/XSV + 지/EC
않고,	않/VX + 고/EC + ,/SP
일이	일/NNG + 이/JKS
생길	생기/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
국민들을	국민/NNG + 들/XSN + 을/JKO
불편하게	불편/NNG + 하/XSA + 게/EC
만드는	만들/VV + 는/ETM
'불편책'을	'/SS + 불편책/NNG + '/SS + 을/JKO
남발하는	남발/NNG + 하/XSV + 는/ETM
정부는	정부/NNG + 는/JX
신뢰를	신뢰/NNG + 를/JKO
얻을	얻/VV + 을/ETM
수	수/NNB
없다는	없/VA + 다는/ETM
사실을	사실/NNG + 을/JKO
지적해	지적/NNG + 하/XSV + 아/EC
둔다.	두/VX + ㄴ다/EF + ./SF

8·15	8/SN + ·/SP + 15/SN
해방을	해방/NNG + 을/JKO
전후로	전후/NNG + 로/JKB
한	하/VV + ㄴ/ETM
우리	우리/NP
현대사에	현대사/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
극좌	극좌/NNG
계열의	계열/NNG + 의/JKG
이론적	이론/NNG + 적/XSN
왜곡이	왜곡/NNG + 이/JKS
지금	지금/MAG
심각한	심각/XR + 하/XSA + ㄴ/ETM
지경에	지경/NNB + 에/JKB
이르러	이르/VV + 어/EC
있다는	있/VX + 다는/ETM
것이	것/NNB + 이/JKS
우리의	우리/NP + 의/JKG
판단이다.	판단/NNG + 이/VCP + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
왜곡과	왜곡/NNG + 과/JC
편파성은	편파/NNG + 성/XSN + 은/JX
이른바	이른바/MAG
수정주의	수정주의/NNG
사관의	사관/NNG + 의/JKG
도입으로부터	도입/NNG + 으로부터/JKB
비롯됐다.	비롯/XR + 되/XSV + 었/EP + 다/EF + ./SF

수정주의	수정주의/NNG
사관은	사관/NNG + 은/JX
물론,	물론/MAG + ,/SP
친일	친/XPN + 일/NNP
사관이나	사관/NNG + 이나/JC
관변	관변/NNG
사관	사관/NNG
또는	또는/MAG
미군	미군/NNG
정기의	정기/NNG + 의/JKG
오류와	오류/NNG + 와/JC
잘못을	잘못/NNG + 을/JKO
격파하고,	격파/NNG + 하/XSV + 고/EC + ,/SP
일부	일부/NNG
감춰졌던	감추/VV + 어/EC + 지/VX + 었/EP + 던/ETM
사실들을	사실/NNG + 들/XSN + 을/JKO
드러내는	드러내/VV + 는/ETM
등	등/NNB
그	그/MM
나름의	나름/NNB + 의/JKG
공적이	공적/NNG + 이/JKS
있었음을	있/VV + 었/EP + 음/ETN + 을/JKO
부인할	부인/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
최근에	최근/NNG + 에/JKB
이르러	이르/VV + 어/EC
일부	일부/NNG
마르크스-레닌주의에	마르크스/NNP + -/SS + 레닌주의/NNG + 에/JKB
심취한	심취/NNG + 하/XSV + ㄴ/ETM
운동권	운동/NNG + 권/XSN
이론가들과	이론가/NNG + 들/XSN + 과/JC
주사파	주사파/NNG
학술	학술/NNG
운동	운동/NNG
그룹은	그룹/NNG + 은/JX
그에서	그/NP + 에서/JKB
한	한/MM
걸음	걸음/NNG
더	더/MAG
나아가,	나아가/VV + 아/EC + ,/SP
현대	현대/NNG
한국의	한국/NNP + 의/JKG
'민족	'/SS + 민족/NNG
민주운동'의	민주/NNG + 운동/NNG + '/SS + 의/JKG
정통성과	정통/NNG + 성/XSN + 과/JC
주력은	주력/NNG + 은/JX
순전히	순전히/MAG
김일성과	김일성/NNP + 과/JC
남로당	남로당/NNP
빨치산…	빨치산/NNG + …/SE
등에	등/NNB + 에/JKB
있다는	있/VV + 다는/ETM
식으로	식/NNB + 으로/JKB
현대사를	현대사/NNG + 를/JKO
조작하고	조작/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그리하여	그리하여/MAJ
그들은	그/NP + 들/XSN + 은/JX
40년	40/SN + 년/NNB
대	대/NNB
후반에는	후반/NNG + 에/JKB + 는/JX
빨치산과	빨치산/NNG + 과/JC
남로계의	남로/NNP + 계/XSN + 의/JKG
이른바	이른바/MAG
야산대	야산대/NNG
및	및/MAG
대구	대구/NNP
10월	10/SN + 월/NNB
폭동과	폭동/NNG + 과/JC
4·3	4/SN + ·/SP + 3/SN
제주	제주/NNP
폭동,	폭동/NNG + ,/SP
그리고	그리고/MAJ
전평과	전/MM + 평/NNB + 과/JKB
농민	농민/NNG
조합의	조합/NNG + 의/JKG
활동만을	활동/NNG + 만/JX + 을/JKO
제일로	제/XPN + 일/NR + 로/JKB
친다.	치/VV + ㄴ다/EF + ./SF

6·25는	6/SN + ·/SP + 25/SN + 는/JX
따라서	따라서/MAJ
그런	그런/MM
혁명적	혁명/NNG + 적/XSN
공방의	공방/NNG + 의/JKG
연속성	연속/NNG + 성/XSN
속에	속/NNG + 에/JKB
있다고	있/VV + 다고/EC
보아서	보/VV + 아서/EC
"누가	"/SS + 누구/NP + 가/JKS
먼저	먼저/MAG
일으켰는지는	일으키/VV + 었/EP + 는지/EC + 는/JX
따질	따지/VV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
없다"는	없/VA + 다/EC + "/SS + 는/ETM
식으로	식/NNB + 으로/JKB
은근슬쩍	은근슬쩍/MAG
얼버무리고	얼버무리/VV + 고/EC
지나가려	지나가/VV + 려/EC
한다.	하/VX + ㄴ다/EF + ./SF

그들은	그/NP + 들/XSN + 은/JX
그런	그런/MM
식으로,	식/NNB + 으로/JKB + ,/SP
김일성의	김일성/NNP + 의/JKG
6·25남침	6/SN + ·/SP + 25/SN + 남침/NNG
때문에	때문/NNB + 에/JKB
남한에	남한/NNP + 에/JKB
반공	반공/NNG
이데올로기가	이데올로기/NNG + 가/JKS
강화됐다는	강화/NNG + 되/XSV + 었/EP + 다는/ETM
근본	근본/NNG
원인은	원인/NNG + 은/JX
감추려	감추/VV + 려/EC
하면서	하/VX + 면서/EC
오직	오직/MAG
그	그/MM
결과로서의	결과/NNG + 로서/JKB + 의/JKG
우리의	우리/NP + 의/JKG
대북	대북/NNG + (/SS + 대북/NNG + (/SS + 대북/NNG + )/SS + )/SS
경계심만	경계심/NNG + 만/JX
'냉전적'이라고	'/SS + 냉전/NNG + 적/XSN + '/SS + 이라고/JKQ
일방적으로	일방/NNG + 적/XSN + 으로/JKB
매도한다.	매도/NNG + 하/XSV + ㄴ다/EC + ./SF

북의	북/NNG + 의/JKG
'남조선	'/SS + 남조선/NNP
괴뢰	괴뢰/NNG
악당…	악당/NNG + …/SE
운운'은	운운/NNG + '/SS + 은/JX
'냉전적'이	'/SS + 냉전/NNG + 적/XSN + '/SS + 이/JKC
아니라는	아니/VCN + 라는/ETM
뜻일까.	뜻/NNG + 이/VCP + ㄹ까/EF + ./SF

사변	사변/NNG
후에	후/NNG + 에/JKB
이르는	이르/VV + 는/ETM
60년대의	60/SN + 년대/NNB + 의/JKG
경우,	경우/NNG + ,/SP
그들은	그/NP + 들/XSN + 은/JX
북의	북/NNG + 의/JKG
간첩	간첩/NNG
조직인	조직/NNG + 이/VCP + ㄴ/ETM
통혁당과	통혁당/NNP + 과/JC
이	이/MM
쪽의	쪽/NNB + 의/JKG
자생	자생/NNG
그룹인	그룹/NNG + 이/VCP + ㄴ/ETM
××당	×/SO + ×/SO + 당/NNG
그리고	그리고/MAJ
그	그/MM
전신인	전신/NNG + 이/VCP + ㄴ/ETM
소수파	소수파/NNG
극좌	극좌/NNG
그룹만을	그룹/NNG + 만/JX + 을/JKO
최고	최고/NNG
주력인양	주력/NNG + 이/VCP + ㄴ/ETM + 양/NNB
조작하고	조작/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

실제에	실제/NNG + 에/JKB
있어	있/VV + 어/EC
통혁당은	통혁당/NNP + 은/JX
북의	북/NNG + 의/JKG
직접	직접/MAG
조직으로서,	조직/NNG + 으로서/JKB + ,/SP
한낱	한낱/MAG
간첩망에	간첩망/NNG + 에/JKB
불과하며,	불과/MAG + 하/XSA + 며/EC + ,/SP
××당은	×/SO + ×/SO + 당/NNG + 은/JX
당시의	당시/NNG + 의/JKG
'민주화	'/SS + 민주/NNG + 화/XSN
운동'의	운동/NNG + '/SS + 의/JKG
주류가	주류/NNG + 가/JKC
아니라	아니/VCN + 라/EC
한	한/MM
개	개/NNB
변방	변방/NNG
소수	소수/NNG
그룹으로	그룹/NNG + 으로/JKB
준동했을	준동/NNG + 하/XSV + 았/EP + 을/ETM
따름이다.	따름/NNB + 이/VCP + 다/EF + ./SF

그런데도	그런데/MAJ + 도/JX
요즈음의	요즈음/NNG + 의/JKG
주사파는	주사파/NNG + 는/JX
그들만이	그/NP + 들/XSN + 만/JX + 이/JKS
마치	마치/MAG
중심이었다는	중심/NNG + 이/VCP + 었/EP + 다는/ETM
양	양/NNB
확대	확대/NNG
과장하면서	과장/NNG + 하/XSV + 면서/EC
정작	정작/NNG
참된	참/NNG + 되/XSA + ㄴ/ETM
비공산적	비/XPN + 공산/NNG + 적/XSN
민주화	민주/NNG + 화/XSN
운동	운동/NNG
주력을	주력/NNG + 을/JKO
개량파니	개량파/NNG + 이/VCP + 니/EC
무어니	무엇/NP + 이/VCP + 니/EC
하면서	하/VV + 면서/EC
적대시하고	적대/NNG + 시/XSN + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

이것은	이것/NP + 은/JX
순전하고	순전/XR + 하/XSA + 고/EC
전적인	전적/NNG + 이/VCP + ㄴ/ETM
왜곡이다.	왜곡/NNG + 이/VCP + 다/EC + ./SF

그들은	그/NP + 들/XSN + 은/JX
따라서	따라서/MAJ
4·19를	4/SN + ·/SP + 19/SN + 를/JKO
깍아내린다.	깍아내리/VV + ㄴ다/EF + ./SF

4·19세대가	4/SN + ·/SP + 19/SN + 세대/NNG + 가/JKS
일부	일부/NNG
'변신'한	'/SS + 변신/NNG + '/SS + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
사실이나	사실/NNG + 이/VCP + 나/EC
4·19정신	4/SN + ·/SP + 19/SN + 정신/NNG
자체는	자체/NNG + 는/JX
위대한	위대/XR + 하/XSA + ㄴ/ETM
자유	자유/NNG
민주	민주/NNG
정의임에도,	정의/NNG + 이/VCP + ㅁ/ETN + 에/JKB + 도/JX + ,/SP
그들은	그/NP + 들/XSN + 은/JX
그것이	그것/NP + 이/JKS
자유	자유/NNG
민주주의이기	민주주의/NNG + 이/VCP + 기/ETN
때문에	때문/NNB + 에/JKB
'반민중적'이라며	'/SS + 반/XPN + 민중/NNG + 적/XSN + '/SS + 이/VCP + 이/VCP + 라며/EC
적대시한다.	적대/NNG + 시/XSN + 하/XSV + ㄴ다/EF + ./SF

그러면서	그러/VV + 면서/EC
4·19가	4/SN + ·/SP + 19/SN + 가/JKS
마치	마치/MAG
'민중	'/SS + 민중/NNG
혁명'이었다는	혁명/NNG + '/SS + 이/VCP + 었/EP + 다는/ETM
듯이,	듯이/NNB + ,/SP
되지도	되/VV + 지/EC + 도/JX
않은	않/VX + 은/ETM
설익은	설익/VV + 은/ETM
마르크스	마르크스/NNP
이론으로	이론/NNG + 으로/JKB
억지로	억지로/MAG
두드려	두드리/VV + 어/EC
맞추려	맞추/VV + 려/EC
한다.	하/VX + ㄴ다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
현대사	현대사/NNG
왜곡은	왜곡/NNG + 은/JX
제대로	제대로/MAG
공부한	공부/NNG + 하/XSV + ㄴ/ETM
성인들이나	성인/NNG + 들/XSN + 이나/JC
과거를	과거/NNG + 를/JKO
직접	직접/MAG
체험했던	체험/NNG + 하/XSV + 았/EP + 던/ETM
세대에게는	세대/NNG + 에게/JKB + 는/JX
먹혀들	먹혀들/VV + ㄹ/ETM
리가	리/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
문제는	문제/NNG + 는/JX
그런	그런/MM
책만	책/NNG + 만/JX
읽게	읽/VV + 게/EC
되는	되/VV + 는/ETM
요즘	요즘/NNG
젊은이들이	젊은이/NNG + 들/XSN + 이/JKS
그에	그/NP + 에/JKB
대한	대하/VV + ㄴ/ETM
반론	반론/NNG
연구서가	연구서/NNG + 가/JKS
흔치	흔하/VA + 지/EC
않은	않/VX + 은/ETM
상황에서	상황/NNG + 에서/JKB
쉽게	쉽/VA + 게/EC
현혹당한다는	현혹/NNG + 당하/XSV + ㄴ다는/ETM
사실의	사실/NNG + 의/JKG
심각성이다.	심각/XR + 성/XSN + 이/VCP + 다/EC + ./SF

특히	특히/MAG
대학생들이	대학/NNG + 생/XSN + 들/XSN + 이/JKS
주로	주로/MAG
이런	이런/MM
책들만	책/NNG + 들/XSN + 만/JX
읽게	읽/VV + 게/EC
될	되/VV + ㄹ/ETM
때	때/NNG
그	그/MM
폐해는	폐해/NNG + 는/JX
실로	실로/MAG
엄청난	엄청나/VA + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

북이나	북/NNG + 이나/JC
남쪽	남쪽/NNG
극좌파는	극좌파/NNG + 는/JX
'콘크리트	'/SS + 콘크리트/NNG
장벽'	장벽/NNG + '/SS
운운이나	운운/NNG + 이나/JC
'김현희	'/SS + 김현희/NNP
조작'	조작/NNG + '/SS
운운하는	운운/NNG + 하/XSV + 는/ETM
것처럼,	것/NNB + 처럼/JKB + ,/SP
지금	지금/MAG
정력적으로	정력/NNG + 적/XSN + 으로/JKB
거짓말	거짓말/NNG
논리들을	논리/NNG + 들/XSN + 을/JKO
창출하고	창출/NNG + 하/XSV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
그런	그런/MM
당파성	당파/NNG + 성/XSN
거짓	거짓/NNG
논리의	논리/NNG + 의/JKG
연장선상에서	연장선/NNG + 상/XSN + 에서/JKB
우리	우리/NP
현대사마저	현대사/NNG + 마저/JX
저희들	저희/NP + 들/XSN
멋대로	멋대로/MAG
서술하고	서술/NNG + 하/XSV + 고/EC
꾸미고	꾸미/VV + 고/EC
있는	있/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이러한	이러/XR + 하/XSA + ㄴ/ETM
'학문의	'/SS + 학문/NNG + 의/JKG
형식을	형식/NNG + 을/JKO
취한	취하/VV + ㄴ/ETM
소설	소설/NNG
창작'	창작/NNG + '/SS
같은	같/VA + 은/ETM
그들의	그/NP + 들/XSN + 의/JKG
사이비	사이비/NNG
현대사	현대사/NNG
이론을	이론/NNG + 을/JKO
우리	우리/NP
학계의	학/NNG + 계/XSN + 의/JKG
뜻	뜻/NNG
있는	있/VV + 는/ETM
연구가들은	연구가/NNG + 들/XSN + 은/JX
더	더/MAG
이상	이상/NNG
방관만	방관/NNG + 만/JX
해서는	하/VV + 아서/EC + 는/JX
안되리라	안/MAG + 되/XSV + 리라/EC
믿는다.	믿/VV + 는다/EF + ./SF

마땅히	마땅히/MAG
정도의	정도/NNG + 의/JKG
아카데미즘	아카데미즘/NNG
정신과	정신/NNG + 과/JC
학문적	학문/NNG + 적/XSN
엄밀성,	엄밀/XR + 성/XSN + ,/SP
그리고	그리고/MAJ
균형된	균형/NNG + 되/XSV + ㄴ/ETM
통찰력을	통찰력/NNG + 을/JKO
발휘하여	발휘/NNG + 하/XSV + 아/EC
이들	이/NP + 들/XSN
극좌파	극좌파/NNG
운동	운동/NNG
논리의	논리/NNG + 의/JKG
역사	역사/NNG
왜곡을	왜곡/NNG + 을/JKO
하나하나	하나하나/MAG
조목조목	조목조목/NNG
격파시킬	격파/NNG + 시키/XSV + ㄹ/ETM
때가	때/NNG + 가/JKS
지금이라고	지금/NNG + 이/VCP + 라고/EC
우리는	우리/NP + 는/JX
확신한다.	확신/NNG + 하/XSV + ㄴ다/EF + ./SF

8·15는	8/SN + ·/SP + 15/SN + 는/JX
우리에게	우리/NP + 에게/JKB
매우	매우/MAG
착잡한	착잡/XR + 하/XSA + ㄴ/ETM
생각을	생각/NNG + 을/JKO
하게	하/VV + 게/EC
하는	하/VX + 는/ETM
날이다.	날/NNG + 이/VCP + 다/EF + ./SF

단순히	단순히/MAG
생각하면	생각/NNG + 하/XSV + 면/EC
광복	광복/NNG
45주년이지만,	45/SN + 주년/NNB + 이/VCP + 지만/EC + ,/SP
좀더	좀/MAG + 더/MAG
깊이	깊이/MAG
생각하면	생각/NNG + 하/XSV + 면/EC
45년	45/SN + 년/NNB
전의	전/NNG + 의/JKG
그날이	그/MM + 날/NNG + 이/JKS
있기까지	있/VV + 기/ETN + 까지/JX
우리	우리/NP
민족은	민족/NNG + 은/JX
얼마나	얼마나/MAG
오랫동안	오랫동안/NNG
괴로운	괴롭/VA + ㄴ/ETM
가시밭길을	가시밭길/NNG + 을/JKO
걸어	걷/VV + 어/EC
왔던가를	오/VX + 았/EP + 던가/EC + 를/JKO
생각케	생각/NNG + 하/XSV + 게/EC
한다.	하/VX + ㄴ다/EF + ./SF

동시에,	동시/NNG + 에/JKB + ,/SP
지난	지나/VV + ㄴ/ETM
45년	45/SN + 년/NNB
동안	동안/NNG
우리는	우리/NP + 는/JX
왜	왜/MAG
민족의	민족/NNG + 의/JKG
비애를	비애/NNG + 를/JKO
환희로	환희/NNG + 로/JKB
돌리지	돌리/VV + 지/EC
못하고	못하/VX + 고/EC
아직도	아직/MAG + 도/JX
분단-분열의	분단/NNG + -/SS + 분열/NNG + 의/JKG
슬픔	슬픔/NNG
속에	속/NNG + 에/JKB
나날을	나날/NNG + 을/JKO
보내고	보내/VV + 고/EC
있는가를	있/VX + 는가/EC + 를/JKO
생각케	생각/NNG + 하/XSV + 게/EC
한다.	하/VX + ㄴ다/EF + ./SF

광복	광복/NNG
45년이라지만,	45/SN + 년/NNB + 이/VCP + 라지만/EC + ,/SP
우리가	우리/NP + 가/JKS
일제의	일제/NNG + 의/JKG
실질적인	실질/NNG + 적/XSN + 이/VCP + ㄴ/ETM
식민지로	식민지/NNG + 로/JKB
전락한	전락/NNG + 하/XSV + ㄴ/ETM
을사조약으로부터	을사조약/NNG + 으로부터/JKB
따지고	따지/VV + 고/EC
보면,	보/VV + 면/EC + ,/SP
'치욕의	'/SS + 치욕/NNG + 의/JKG
40년	40/SN + 년/NNB
보태기	보태/VV + 기/ETN
분단의	분단/NNG + 의/JKG
45년'이	45/SN + 년/NNB + '/SS + 이/JKC
아니었던가.	아니/VCN + 었/EP + 던가/EF + ./SF

누가	누구/NP + 가/JKS
뭐래도	뭐/NP + 이/VCP + 래도/EC
우리는	우리/NP + 는/JX
그	그/MM
85년	85/SN + 년/NNB
간의	간/NNB + 의/JKG
민족의	민족/NNG + 의/JKG
비운을	비운/NNG + 을/JKO
외면할	외면/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없을	없/VA + 을/ETM
뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
책임을	책임/NNG + 을/JKO
져야	지/VV + 어야/EC
하는	하/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

어떻게	어떻/VA + 게/EC
책임질	책임지/VV + ㄹ/ETM
것인가.	것/NNB + 이/VCP + ㄴ가/EF + ./SF

걸론부터	결론/NNG + 부터/JX
