서울	서울/NNP
꽃은	꽃/NNG + 은/JX
상징성만큼이나	상징/NNG + 성/XSN + 만큼/JKB + 이나/JX
사람의	사람/NNG + 의/JKG
마음을	마음/NNG + 을/JKO
가라앉히면서	가라앉히/VV + 면서/EC
정신을	정신/NNG + 을/JKO
안정시키는	안정/NNG + 시키/XSV + 는/ETM
효과를	효과/NNG + 를/JKO
나타낸다.	나타내/VV + ㄴ다/EF + ./SF

특히	특히/MAG
연꽃이	연꽃/NNG + 이/JKS
지고	지/VV + 고/EC
난	나/VX + ㄴ/ETM
후의	후/NNG + 의/JKG
씨는	씨/NNG + 는/JX
심인성(심인성)	심인성/NNP + (/SS + 심인성/NNP + )/SS
질환에	질환/NNG + 에/JKB
효능이	효능/NNG + 이/JKS
아주	아주/MAG
우수해	우수/NNG + 하/XSA + 아/EC
널리	널리/MAG
활용된다.	활용/NNG + 되/XSV + ㄴ다/EF + ./SF

특히	특히/MAG
입시를	입시/NNG + 를/JKO
며칠	며칠/NNG
앞두고	앞두/VV + 고/EC
있는	있/VX + 는/ETM
수험생들의	수험/NNG + 생/XSN + 들/XSN + 의/JKG
불안	불안/NNG
초조감을	초조감/NNG + 을/JKO
제거하는데	제거/NNG + 하/XSV + 는데/EC
유익하다.	유익/NNG + 하/XSA + 다/EF + ./SF

이	이/MM
같은	같/VA + 은/ETM
효능은	효능/NNG + 은/JX
연꽃씨에	연꽃/NNG + 씨/NNG + 에/JKB
들어	들/VV + 어/EC
있는	있/VX + 는/ETM
다량의	다량/NNG + 의/JKG
전분과	전분/NNG + 과/JC
라휘노스	라휘노스/NNP
등이	등/NNB + 이/JKS
신경	신경/NNG
인자를	인자/NNG + 를/JKO
자극하기	자극/NNG + 하/XSV + 기/ETN
때문인	때문/NNB + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
알려져	알리/VV + 어/EC + 지/VX + 어/EC
있다.	있/VX + 다/EF + ./SF

복용법은	복용법/NNG + 은/JX
1회	1/SN + 회/NNB
6~12g을	6/SN + ~/SO + 12/SN + g/SL + 을/JKO
물로	물/NNG + 로/JKB
2시간	2/SN + 시간/NNG
정도	정도/NNG
달여	달이/VV + 어/EC
하루	하루/NNG
3회	3/SN + 회/NNB
공복에	공복/NNG + 에/JKB
마시는	마시/VV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

적용되는	적용/NNG + 되/XSV + 는/ETM
증상을	증상/NNG + 을/JKO
좀	좀/MAG
더	더/MAG
구체적으로	구체/NNG + 적/XSN + 으로/JKB
살펴	살피/VV + 어/EC
보면	보/VX + 면/EC
연속된	연속/NNG + 되/XSV + ㄴ/ETM
긴장으로	긴장/NNG + 으로/JKB
가슴	가슴/NNG
속에	속/NNG + 에/JKB
화기와	화기/NNG + 와/JC
조바심이	조바심/NNG + 이/JKS
그칠	그치/VV + ㄹ/ETM
사이	사이/NNG
없을	없/VA + 을/ETM
때,	때/NNG + ,/SP
깊은	깊/VA + 은/ETM
잠을	잠/NNG + 을/JKO
못	못/MAG
자고	자/VV + 고/EC
헛꿈을	헛/XPN + 꿈/NNG + 을/JKO
되풀이하며	되풀이/NNG + 하/XSV + 며/EC
자고난	자/VV + 고/EC + 나/VX + ㄴ/ETM
뒤에	뒤/NNG + 에/JKB
머리가	머리/NNG + 가/JKS
무거운	무겁/VA + ㄴ/ETM
증상,	증상/NNG + ,/SP
작은	작/VA + 은/ETM
일에도	일/NNG + 에/JKB + 도/JX
가슴이	가슴/NNG + 이/JKS
뛰면서	뛰/VV + 면서/EC
억제할	억제/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없을	없/VA + 을/ETM
때,	때/NNG + ,/SP
입안이	입/NNG + 안/NNG + 이/JKS
마르고	마르/VV + 고/EC
소변을	소변/NNG + 을/JKO
적게	적/VA + 게/EC
보거나	보/VX + 거나/EC
몽정을	몽정/NNG + 을/JKO
자주	자주/MAG
할	하/VV + ㄹ/ETM
때,	때/NNG + ,/SP
식욕이	식욕/NNG + 이/JKS
없고	없/VA + 고/EC
소화불량을	소화/NNG + 불량/NNG + 을/JKO
나타내는	나타내/VV + 는/ETM
흥분성	흥분/NNG + 성/XSN
신경쇠약	신경/NNG + 쇠약/NNG
증세	증세/NNG
등이다.	등/NNB + 이/VCP + 다/EF + ./SF

태풍이	태풍/NNG + 이/JKS
지나면서	지나/VV + 면서/EC
대전	대전/NNP
엑스포회장이	엑스포회장/NNG + 이/JKS
본격적으로	본격/NNG + 적/XSN + 으로/JKB
붐비기	붐비/VV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

웬만한	웬만/XR + 하/XSA + ㄴ/ETM
구경	구경/NNG
하나	하나/NR
하려면	하/VV + 려면/EC
30분에서	30/SN + 분/NNB + 에서/JKB
한	한/MM
시간	시간/NNG
기다리기	기다리/VV + 기/ETN
예사인	예사/NNG + 이/VCP + ㄴ/ETM
엑스포	엑스포/NNG
나들이에는	나들이/NNG + 에/JKB + 는/JX
'기다림용품'	'/SS + 기다리/VV + ㅁ/ETN + 용품/NNG + '/SS
'운반용품'을	'/SS + 운반/NNG + 용품/NNG + '/SS + 을/JKO
챙겨가면	챙기/VV + 어/EC + 가/VX + 면/EC
훨씬	훨씬/MAG
편하게	편하/VA + 게/EC
지낼	지내/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

그늘과	그늘/NNG + 과/JC
휴식공간이	휴식/NNG + 공간/NNG + 이/JKS
부족한	부족/NNG + 하/XSA + ㄴ/ETM
엑스포	엑스포/NNG
회장	회장/NNG
구역	구역/NNG
안에서는	안/NNG + 에서/JKB + 는/JX
휴대용	휴대/NNG + 용/XSN
비치	비치/NNG
파라솔,	파라솔/NNG + ,/SP
햇볕	햇볕/NNG
가리개가	가리개/NNG + 가/JKS
필수.	필수/NNG + ./SF

골프용	골프/NNG + 용/XSN
대형	대형/NNG
우산도	우산/NNG + 도/JX
같은	같/VA + 은/ETM
용도로	용도/NNG + 로/JKB
쓸	쓰/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

대전	대전/NNP
엑스포회장은	엑스포회장/NNG + 은/JX
쉴	쉬/VV + ㄹ/ETM
곳이	곳/NNG + 이/JKS
부족한	부족/NNG + 하/XSA + ㄴ/ETM
것이	것/NNB + 이/JKS
단점으로	단점/NNG + 으로/JKB
지적돼	지적/NNG + 되/XSV + 어/EC
왔을만큼	오/VV + 았/EP + 을/ETM + 만큼/NNB
그늘이	그늘/NNG + 이/JKS
부족하므로,	부족/NNG + 하/XSA + 므로/EC + ,/SP
이	이/MM
같은	같/VA + 은/ETM
햇볕	햇볕/NNG
가리개를	가리개/NNG + 를/JKO
가져가면	가져가/VV + 면/EC
유용하게	유용/NNG + 하/XSA + 게/EC
쓸	쓰/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

그러나	그러나/MAJ
줄	줄/NNG
선	서/VV + ㄴ/ETM
곳	곳/NNG
등에서는	등/NNB + 에서/JKB + 는/JX
자칫	자칫/MAG
옆	옆/NNG
사람을	사람/NNG + 을/JKO
찌르거나	찌르/VV + 거나/EC
방해할	방해/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있으므로	있/VV + 으므로/EC
반드시	반드시/MAG
엑스포	엑스포/NNG
다리	다리/NNG
아래	아래/NNG
갑천	갑천/NNP
고수부지	고수부지/NNG
등	등/NNB
휴식	휴식/NNG
공간에서만	공간/NNG + 에서/JKB + 만/JX
사용해야	사용/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

휴대용	휴대/NNG + 용/XSN
의자도	의자/NNG + 도/JX
쓸	쓰/VV + ㄹ/ETM
데가	데/NNB + 가/JKS
많다.	많/VA + 다/EF + ./SF

낚시	낚시/NNG
의자식으로	의자/NNG + 식/NNB + 으로/JKB
접는	접/VV + 는/ETM
의자를	의자/NNG + 를/JKO
가져가면	가져가/VV + 면/EC
길게	길/VA + 게/EC
줄이	줄/NNG + 이/JKS
늘어섰을	늘어서/VV + 었/EP + 을/ETM
때	때/NNG
유용하게	유용/NNG + 하/XSA + 게/EC
쓸	쓰/VV + ㄹ/ETM
수	수/NNB
있으며	있/VV + 으며/EC
삼각형으로	삼각/NNG + 형/XSN + 으로/JKB
등받이가	등받이/NNG + 가/JKS
달린	달리/VV + ㄴ/ETM
바닷가용	바닷가/NNG + 용/XSN
접는	접/VV + 는/ETM
의자도	의자/NNG + 도/JX
쓸모	쓸모/NNG
있다.	있/VV + 다/EF + ./SF

작은	작/VA + 은/ETM
파라솔이	파라솔/NNG + 이/JKS
달린	달리/VV + ㄴ/ETM
휴대용	휴대/NNG + 용/XSN
의자가	의자/NNG + 가/JKS
최고.	최고/NNG + ./SF

그러나	그러나/MAJ
엑스포	엑스포/NNG
회장이	회장/NNG + 이/JKS
그다지	그다지/MAG
넓지	넓/VA + 지/EC
않으므로	않/VX + 으므로/EC
휴대용	휴대/NNG + 용/XSN
테이블-의자	테이블/NNG + -/SS + 의자/NNG
세트	세트/NNG
같은	같/VA + 은/ETM
것은	것/NNB + 은/JX
가져가지	가져가/VV + 지/EC
않는	않/VX + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

돗자리를	돗자리/NNG + 를/JKO
펴	펴/VV + 어/EC
놓을	놓/VX + 을/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
곳은	곳/NNG + 은/JX
사실	사실/MAG
거의	거의/MAG
없다.	없/VA + 다/EF + ./SF

그러나	그러나/MAJ
가족끼리	가족/NNG + 끼리/XSN
도시락을	도시락/NNG + 을/JKO
펴	펴/VV + 어/EC
놓거나	놓/VX + 거나/EC
할	하/VV + ㄹ/ETM
때는	때/NNG + 는/JX
필요하므로	필요/NNG + 하/XSA + 므로/EC
너무	너무/MAG
크지	크/VA + 지/EC
않은	않/VX + 은/ETM
것으로	것/NNB + 으로/JKB
한장쯤	한/MM + 장/NNB + 쯤/NNG
가져가는	가져가/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

전시관	전시관/NNG
사이	사이/NNG
사이는	사이/NNG + 는/JX
통로일	통로/NNG + 이/VCP + ㄹ/ETM
뿐	뿐/NNB
휴식	휴식/NNG
공간은	공간/NNG + 은/JX
거의	거의/MAG
없어	없/VA + 어/EC
자리나	자리/NNG + 나/JC
의자를	의자/NNG + 를/JKO
펴	펴/VV + 어/EC
놓으면	놓/VX + 으면/EC
곤란하다.	곤란/NNG + 하/XSA + 다/EF + ./SF

비교적	비교/NNG + 적/XSN
공간	공간/NNG
여유	여유/NNG
있는	있/VV + 는/ETM
곳이	곳/NNG + 이/JKS
동문	동문/NNG
안쪽	안쪽/NNG
국제관과	국제관/NNG + 과/JC
대공연장,	대/XPN + 공연장/NNG + ,/SP
주거환경관,	주거/NNG + 환경관/NNG + ,/SP
조폐문화관	조폐/NNG + 문화관/NNG
부근.	부근/NNG + ./SF

어린	어리/VA + ㄴ/ETM
아기를	아기/NNG + 를/JKO
데리고	데리/VV + 고/EC
간다면	가/VX + ㄴ다면/EC
유모차나	유모차/NNG + 나/JC
아기	아기/NNG
배낭을	배낭/NNG + 을/JKO
가져가는	가져가/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

남문과	남문/NNG + 과/JC
동문,	동문/NNG + ,/SP
서문	서문/NNG
옆	옆/NNG
물품대여소에서는	물품/NNG + 대여소/NNG + 에서/JKB + 는/JX
유모차를	유모차/NNG + 를/JKO
무료로	무료/NNG + 로/JKB
빌려	빌리/VV + 어/EC
주고	주/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

유모차는	유모차/NNG + 는/JX
각	각/MM
대여소마다	대여소/NNG + 마다/JX
3백	3/SN + 백/NR
80여대씩	80/SN + 여/XSN + 대/NNB + 씩/XSN
모두	모두/MAG
1천	1/SN + 천/NR
1백여대를	1/SN + 백/NR + 여/XSN + 대/NNB + 를/JKO
가지고	가지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

휴일	휴일/NNG
사람이	사람/NNG + 이/JKS
몰리면	몰리/VV + 면/EC
동날	동나/VV + ㄹ/ETM
수	수/NNB
있으므로	있/VV + 으므로/EC
접는	접/VV + 는/ETM
유모차가	유모차/NNG + 가/JKS
있으면	있/VV + 으면/EC
가지고	가지/VV + 고/EC
가는	가/VX + 는/ETM
편이	편/NNB + 이/JKS
낫다.	낫/VA + 다/EF + ./SF

전시장에	전시장/NNG + 에/JKB
유모차를	유모차/NNG + 를/JKO
밀고	밀/VV + 고/EC
들어가면	들어가/VV + 면/EC
걸리적거릴	걸리적거리/VV + ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN + 라/EC
영화관에는	영화관/NNG + 에/JKB + 는/JX
가지고	가지/VV + 고/EC
들어	들/VV + 어/EC
갈	가/VX + ㄹ/ETM
수	수/NNB
없으므로	없/VA + 으므로/EC
큰	크/VA + ㄴ/ETM
것보다는	것/NNB + 보다/JKB + 는/JX
소위	소위/MAG
'우산형'이라고	'/SS + 우산/NNG + 형/XSN + '/SS + 이라고/JKQ
부르는,	부르/VV + 는/ETM + ,/SP
접으면	접/VV + 으면/EC
조금	조금/MAG
큰	크/VA + ㄴ/ETM
우산만해지는	우산/NNG + 만/JX + 하/VV + 아/EC + 지/VX + 는/ETM
작은	작/VA + 은/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

아기	아기/NNG
배낭은	배낭/NNG + 은/JX
아기를	아기/NNG + 를/JKO
태워	태우/VV + 어/EC
등에	등/NNG + 에/JKB
질	지/VV + ㄹ/ETM
수	수/NNB
있게	있/VV + 게/EC
된	되/VV + ㄴ/ETM
것으로,	것/NNB + 으로/JKB + ,/SP
등산용품점과	등산/NNG + 용품점/NNG + 과/JC
백화점	백화점/NNG
아기용품	아기/NNG + 용품/NNG
코너에서	코너/NNG + 에서/JKB
팔고	팔/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

고급형은	고급/NNG + 형/XSN + 은/JX
등받이에	등받이/NNG + 에/JKB
접었다	접/VV + 었/EP + 다/EC
폈다할	펴/VV + 었/EP + 다/EC + 하/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
다리와	다리/NNG + 와/JC
바퀴가	바퀴/NNG + 가/JKS
달려	달리/VV + 어/EC
있어	있/VX + 어/EC
등에	등/NNG + 에/JKB
지고	지/VV + 고/EC
있지	있/VX + 지/EC
않을	않/VX + 을/ETM
때는	때/NNG + 는/JX
바닥에	바닥/NNG + 에/JKB
세워놓거나	세우/VV + 어/EC + 놓/VX + 거나/EC
가볍게	가볍/VA + 게/EC
끌고	끌/VV + 고/EC
다닐	다니/VV + ㄹ/ETM
수도	수/NNB + 도/JX
있다.	있/VV + 다/EF + ./SF

3만~6만원.	3/SN + 만/NR + ~/SO + 6/SN + 만/NR + 원/NNB + ./SF

간단한	간단/XR + 하/XSA + ㄴ/ETM
짐을	짐/NNG + 을/JKO
싣고	싣/VV + 고/EC
다닐	다니/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
밀차(카트)가	밀차/NNG + (/SS + 카트/NNG + )/SS + 가/JKS
있으면	있/VV + 으면/EC
여러	여러/MM
모로	모로/MAG
편리하다.	편리/NNG + 하/XSA + 다/EF + ./SF

주로	주로/MAG
해외여행용으로	해외여행/NNG + 용/XSN + 으로/JKB
많이	많이/MAG
쓰이던	쓰이/VV + 던/ETM
밀차를	밀차/NNG + 를/JKO
요즘은	요즘/NNG + 은/JX
시장보러갈	시장/NNG + 보/VV + 러/EC + 가/VV + ㄹ/ETM
때도	때/NNG + 도/JX
사용할	사용/NNG + 하/XSV + ㄹ/ETM
만큼	만큼/NNB
보편화돼	보편/NNG + 화/XSN + 되/XSV + 어/EC
있고	있/VX + 고/EC
값도	값/NNG + 도/JX
8천~1만원	8/SN + 천/NR + ~/SO + 1/SN + 만/NR + 원/NNB
안팎으로	안팎/NNG + 으로/JKB
비싸지	비싸/VA + 지/EC
않아	않/VX + 아/EC
엑스포	엑스포/NNG
나들이	나들이/NNG
이후에도	이후/NNG + 에/JKB + 도/JX
쓸	쓰/VV + ㄹ/ETM
수	수/NNB
있으므로	있/VV + 으므로/EC
하나쯤	하나쯤/NNG
가져가는	가져가/VV + 는/ETM
것이	것/NNB + 이/JKS
편하다.	편하/VA + 다/EF + ./SF

도시락이나	도시락/NNG + 이나/JC
돗자리,	돗자리/NNG + ,/SP
쓰레기	쓰레기/NNG
봉지	봉지/NNG
등	등/NNB
크고	크/VA + 고/EC
작은	작/VA + 은/ETM
짐은	짐/NNG + 은/JX
여기에	여기/NP + 에/JKB
싣고	싣/VV + 고/EC
고무줄로	고무줄/NNG + 로/JKB
묶어	묶/VV + 어/EC
고정하면	고정/NNG + 하/XSV + 면/EC
가방을	가방/NNG + 을/JKO
들고	들/VV + 고/EC
다니거나	다니/VV + 거나/EC
배낭으로	배낭/NNG + 으로/JKB
메고	메/VV + 고/EC
다니는	다니/VV + 는/ETM
것보다	것/NNB + 보다/JKB
훨씬	훨씬/MAG
부담이	부담/NNG + 이/JKS
적다.	적/VA + 다/EF + ./SF

밀차에	밀차/NNG + 에/JKB
얹을	얹/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
대바구니나	대바구니/NNG + 나/JC
등바구니,	등/NNG + 바구니/NNG + ,/SP
플라스틱	플라스틱/NNG
바구니는	바구니/NNG + 는/JX
뚜껑을	뚜껑/NNG + 을/JKO
덮을	덮/VV + 을/ETM
수	수/NNB
있는	있/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

'로켓이	'/SS + 로켓/NNG + 이/JKS
불을	불/NNG + 을/JKO
뿜으며	뿜/VV + 으며/EC
하늘로	하늘/NNG + 로/JKB
치솟는다.	치솟/VV + 는다/EF + ./SF

시야에서	시야/NNG + 에서/JKB
사라진다.	사라지/VV + ㄴ다/EF + ./SF

낙하산에	낙하산/NNG + 에/JKB
매달린	매달리/VV + ㄴ/ETM
채	채/NNB
다시	다시/MAG
시야에	시야/NNG + 에/JKB
나타난다….'	나타나/VV + ㄴ다/EC + …/SE + ./SF + '/SS

최근	최근/NNG
일부	일부/NNG
대학생들을	대학/NNG + 생/XSN + 들/XSN + 을/JKO
중심으로	중심/NNG + 으로/JKB
모형로켓	모형/NNG + 로켓/NNG
발사를	발사/NNG + 를/JKO
취미로	취미/NNG + 로/JKB
하는	하/VV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
늘고	늘/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

서울대,	서울대/NNP + ,/SP
인하대,	인하대/NNP + ,/SP
항공대	항공대/NNP
등	등/NNB
6~7	6/SN + ~/SO + 7/SN
개	개/NNB
대학에	대학/NNG + 에/JKB
모형로켓연구회가	모형/NNG + 로켓/NNG + 연구회/NNG + 가/JKS
결성됐고,	결성/NNG + 되/XSV + 었/EP + 고/EC + ,/SP
지난	지나/VV + ㄴ/ETM
1월에는	1/SN + 월/NNB + 에/JKB + 는/JX
한국대학로켓연구연합회가	한국대학로켓연구연합회/NNP + 가/JKS
만들어졌다.	만들/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

여기에	여기/NP + 에/JKB
관심이	관심/NNG + 이/JKS
많은	많/VA + 은/ETM
일반인들은	일반인/NNG + 들/XSN + 은/JX
아마추어로켓협회를	아마추어/NNG + 로켓/NNG + 협회/NNG + 를/JKO
만들어	만들/VV + 어/EC
활동하고	활동/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

모형로켓	모형/NNG + 로켓/NNG
발사의	발사/NNG + 의/JKG
즐거움은	즐거움/NNG + 은/JX
모형비행기에	모형/NNG + 비행기/NNG + 에/JKB
비할	비하/VV + ㄹ/ETM
바가	바/NNB + 가/JKC
아니라는	아니/VCN + 라는/ETM
것이	것/NNB + 이/JKS
동호인들의	동호인/NNG + 들/XSN + 의/JKG
설명이다.	설명/NNG + 이/VCP + 다/EF + ./SF

서울대	서울대/NNP
박종현군(우주항공공학과	박종현/NNP + 군/NNB + (/SS + 우주/NNG + 항공/NNG + 공학/NNG + 과/NNG
4년)은	4/SN + 년/NNB + )/SS + 은/JX
"모형로켓이	"/SS + 모형/NNG + 로켓/NNG + 이/JKS
발사	발사/NNG
후	후/NNG
눈으로	눈/NNG + 으로/JKB
보이지	보이/VV + 지/EC
않는	않/VX + 는/ETM
높이까지	높이/NNG + 까지/JX
올라갈	올라가/VV + ㄹ/ETM
때의	때/NNG + 의/JKG
개인적	개인/NNG + 적/XSN
성취감과	성취감/NNG + 과/JC
쾌감은	쾌감/NNG + 은/JX
형언하기	형언/NNG + 하/XSV + 기/ETN
어렵다"고	어렵/VA + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

반면	반면/NNG
제작	제작/NNG
과정은	과정/NNG + 은/JX
모형비행기보다	모형/NNG + 비행기/NNG + 보다/JKB
훨씬	훨씬/MAG
쉽고	쉽/VA + 고/EC
회수	회수/NNG
후	후/NNG
엔진부품만	엔진/NNG + 부품/NNG + 만/JX
교체,	교체/NNG + ,/SP
여러	여러/MM
번	번/NNB
사용할	사용/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
장점이	장점/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

일반적으로	일반/NNG + 적/XSN + 으로/JKB
사용하는	사용/NNG + 하/XSV + 는/ETM
모형로켓의	모형/NNG + 로켓/NNG + 의/JKG
길이는	길이/NNG + 는/JX
보통	보통/MAG
50~60㎝.	50/SN + ~/SO + 60/SN + ㎝/SW + ./SF

간단한	간단/XR + 하/XSA + ㄴ/ETM
화약으로	화약/NNG + 으로/JKB
만들어진	만들/VV + 어/EC + 지/VX + ㄴ/ETM
엔진은	엔진/NNG + 은/JX
수입품을	수입품/NNG + 을/JKO
시중에서	시중/NNG + 에서/JKB
구입해	구입/NNG + 하/XSV + 아/EC
쓰며,	쓰/VV + 며/EC + ,/SP
맨	맨/MM
앞부분의	앞부분/NNG + 의/JKG
노우즈,	노우즈/NNG + ,/SP
동체,	동체/NNG + ,/SP
날개는	날개/NNG + 는/JX
종이,	종이/NNG + ,/SP
화장지	화장지/NNG
말대,	말대/NNG + ,/SP
발사(나무의	발사/NNG + (/SS + 나무/NNG + 의/JKG
일종)	일종/NNG + )/SS
등	등/NNB
간단한	간단/XR + 하/XSA + ㄴ/ETM
재료를	재료/NNG + 를/JKO
이용해	이용/NNG + 하/XSV + 아/EC
스스로	스스로/MAG
만든다.	만들/VV + ㄴ다/EF + ./SF

항공대	항공대/NNP
임봉희군(항공기계공학과	임봉희/NNP + 군/NNB + (/SS + 항공/NNG + 기계/NNG + 공학/NNG + 과/NNG
3년)은	3/SN + 년/NNB + )/SS + 은/JX
"모형로켓	"/SS + 모형/NNG + 로켓/NNG
하나를	하나/NR + 를/JKO
만드는	만들/VV + 는/ETM
데	데/NNB
드는	들/VV + 는/ETM
비용은	비용/NNG + 은/JX
3천원	3/SN + 천/NR + 원/NNB
정도이며	정도/NNG + 이/VCP + 며/EC
제작기간도	제작/NNG + 기간/NNG + 도/JX
3일이면	3/SN + 일/NNB + 이/VCP + 면/EC
충분하다"고	충분/XR + 하/XSA + 다/EC + "/SS + 고/JKQ
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

모형로켓의	모형/NNG + 로켓/NNG + 의/JKG
최대	최대/NNG
고도는	고도/NNG + 는/JX
2백~3백m.	2/SN + 백/NR + ~/SO + 3/SN + 백/NR + m/SL + ./SF

발사에는	발사/NNG + 에/JKB + 는/JX
간단한	간단/XR + 하/XSA + ㄴ/ETM
점화발사장치가	점화/NNG + 발사/NNG + 장치/NNG + 가/JKS
필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF

인하대	인하대/NNP
임석희양(화학공학과	임석희/NNP + 양/NNB + (/SS + 화학/NNG + 공학/NNG + 과/NNG
3년)은	3/SN + 년/NNB + )/SS + 은/JX
"발사	"/SS + 발사/NNG
후	후/NNG
최대	최대/NNG
고도에	고도/NNG + 에/JKB
이른	이르/VV + ㄴ/ETM
다음	다음/NNG
노우즈와	노우즈/NNG + 와/JKB
동체가	동체/NNG + 가/JKS
분리되면서	분리/NNG + 되/XSV + 면서/EC
낙하산이	낙하산/NNG + 이/JKS
펼쳐진	펼쳐지/VV + ㄴ/ETM
후	후/NNG
땅으로	땅/NNG + 으로/JKB
내려온다"고	내려오/VV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

임양은	임/NNP + 양/NNB + 은/JX
내려	내리/VV + 어/EC
오는	오/VX + 는/ETM
로켓을	로켓/NNG + 을/JKO
회수하는	회수/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
즐거움의	즐거움/NNG + 의/JKG
하나라고	하나/NR + 이/VCP + 라고/EC
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이런	이런/MM
매력	매력/NNG
때문에	때문/NNB + 에/JKB
동호인의	동호인/NNG + 의/JKG
수가	수/NNG + 가/JKS
계속	계속/MAG
늘고	늘/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
대학생	대학/NNG + 생/XSN
동호인들은	동호인/NNG + 들/XSN + 은/JX
작년부터	작년/NNG + 부터/JX
1년에	1/SN + 년/NNB + 에/JKB
한	한/MM
번	번/NNB
모형로켓경진대회를	모형/NNG + 로켓/NNG + 경진/NNG + 대회/NNG + 를/JKO
개최하고	개최/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
화약류를	화약/NNG + 류/XSN + 를/JKO
취급하고	취급/NNG + 하/XSV + 고/EC
높이	높이/MAG
발사하기	발사/NNG + 하/XSV + 기/ETN
때문에	때문/NNB + 에/JKB
활동에	활동/NNG + 에/JKB
법적인	법/NNG + 적/XSN + 이/VCP + ㄴ/ETM
제약을	제약/NNG + 을/JKO
상당히	상당히/MAG
받고	받/VV + 고/EC
있는	있/VX + 는/ETM
실정이다.	실정/NNG + 이/VCP + 다/EF + ./SF

아마추어로켓협회	아마추어/NNG + 로켓/NNG + 협회/NNG
윤여형	윤여형/NNP
회장은	회장/NNG + 은/JX
"모형로켓의	"/SS + 모형/NNG + 로켓/NNG + 의/JKG
원리가	원리/NNG + 가/JKS
그대로	그대로/MAG
실제	실제/NNG
로켓에	로켓/NNG + 에/JKB
적용된다는	적용/NNG + 되/XSV + ㄴ다는/ETM
점을	점/NNG + 을/JKO
감안,	감안/NNG + ,/SP
정부가	정부/NNG + 가/JKS
과학	과학/NNG
기술	기술/NNG
발전을	발전/NNG + 을/JKO
지원한다는	지원/NNG + 하/XSV + ㄴ다는/ETM
측면에서	측면/NNG + 에서/JKB
법적인	법/NNG + 적/XSN + 이/VCP + ㄴ/ETM
제약을	제약/NNG + 을/JKO
